sub_proCodigoProvincia,sub_depCodigoDepartamento,sub_munCodigoMunicipio,sub_mesCodigoCircuito,sub_mesCodigoMesa,sub_mesCodSexo,sub_votparCodigo,sub_parCodigo,ordenPartidos,subVotosPartido
"20","001","003","0003 ","0041","X","0701","3015",1,7
"20","001","003","0003 ","0041","X","0701","3016",2,61
"20","001","003","0003 ","0041","X","0701","3036",3,28
"20","001","003","0003 ","0041","X","0701","3100",4,2
"20","001","003","0003 ","0041","X","0701","3113",5,7
"20","001","003","0003 ","0041","X","0701","3139",6,7
"20","001","003","0003 ","0041","X","0702","3013",1,2
"20","001","003","0003 ","0041","X","0702","3052",2,6
"20","001","003","0003 ","0041","X","0702","3116",3,32
"20","001","003","0003 ","0041","X","0702","3119",4,13
"20","001","003","0003 ","0041","X","0702","3125",5,9
"20","001","003","0003 ","0041","X","0702","3136",6,10
"20","001","003","0003 ","0042","X","0701","3015",1,8
"20","001","003","0003 ","0042","X","0701","3016",2,44
"20","001","003","0003 ","0042","X","0701","3036",3,28
"20","001","003","0003 ","0042","X","0701","3100",4,2
"20","001","003","0003 ","0042","X","0701","3113",5,3
"20","001","003","0003 ","0042","X","0701","3139",6,4
"20","001","003","0003 ","0042","X","0702","3013",1,8
"20","001","003","0003 ","0042","X","0702","3052",2,2
"20","001","003","0003 ","0042","X","0702","3116",3,45
"20","001","003","0003 ","0042","X","0702","3119",4,14
"20","001","003","0003 ","0042","X","0702","3125",5,6
"20","001","003","0003 ","0042","X","0702","3136",6,11
"20","001","003","0003 ","0043","X","0701","3015",1,3
"20","001","003","0003 ","0043","X","0701","3016",2,56
"20","001","003","0003 ","0043","X","0701","3036",3,23
"20","001","003","0003 ","0043","X","0701","3100",4,4
"20","001","003","0003 ","0043","X","0701","3113",5,8
"20","001","003","0003 ","0043","X","0701","3139",6,4
"20","001","003","0003 ","0043","X","0702","3013",1,0
"20","001","003","0003 ","0043","X","0702","3052",2,9
"20","001","003","0003 ","0043","X","0702","3116",3,27
"20","001","003","0003 ","0043","X","0702","3119",4,16
"20","001","003","0003 ","0043","X","0702","3125",5,0
"20","001","003","0003 ","0043","X","0702","3136",6,17
"20","001","003","0003 ","0044","X","0701","3015",1,2
"20","001","003","0003 ","0044","X","0701","3016",2,45
"20","001","003","0003 ","0044","X","0701","3036",3,29
"20","001","003","0003 ","0044","X","0701","3100",4,5
"20","001","003","0003 ","0044","X","0701","3113",5,4
"20","001","003","0003 ","0044","X","0701","3139",6,4
"20","001","003","0003 ","0044","X","0702","3013",1,7
"20","001","003","0003 ","0044","X","0702","3052",2,4
"20","001","003","0003 ","0044","X","0702","3116",3,52
"20","001","003","0003 ","0044","X","0702","3119",4,16
"20","001","003","0003 ","0044","X","0702","3125",5,0
"20","001","003","0003 ","0044","X","0702","3136",6,4
"20","001","003","0003 ","0045","X","0701","3015",1,9
"20","001","003","0003 ","0045","X","0701","3016",2,48
"20","001","003","0003 ","0045","X","0701","3036",3,20
"20","001","003","0003 ","0045","X","0701","3100",4,4
"20","001","003","0003 ","0045","X","0701","3113",5,11
"20","001","003","0003 ","0045","X","0701","3139",6,1
"20","001","003","0003 ","0045","X","0702","3013",1,0
"20","001","003","0003 ","0045","X","0702","3052",2,0
"20","001","003","0003 ","0045","X","0702","3116",3,0
"20","001","003","0003 ","0045","X","0702","3119",4,15
"20","001","003","0003 ","0045","X","0702","3125",5,2
"20","001","003","0003 ","0045","X","0702","3136",6,2
"20","001","003","0003 ","0046","X","0701","3015",1,1
"20","001","003","0003 ","0046","X","0701","3016",2,72
"20","001","003","0003 ","0046","X","0701","3036",3,13
"20","001","003","0003 ","0046","X","0701","3100",4,2
"20","001","003","0003 ","0046","X","0701","3113",5,7
"20","001","003","0003 ","0046","X","0701","3139",6,4
"20","001","003","0003 ","0046","X","0702","3013",1,4
"20","001","003","0003 ","0046","X","0702","3052",2,8
"20","001","003","0003 ","0046","X","0702","3116",3,33
"20","001","003","0003 ","0046","X","0702","3119",4,13
"20","001","003","0003 ","0046","X","0702","3125",5,5
"20","001","003","0003 ","0046","X","0702","3136",6,7
"20","001","003","0003 ","0047","X","0701","3015",1,7
"20","001","003","0003 ","0047","X","0701","3016",2,56
"20","001","003","0003 ","0047","X","0701","3036",3,16
"20","001","003","0003 ","0047","X","0701","3100",4,1
"20","001","003","0003 ","0047","X","0701","3113",5,8
"20","001","003","0003 ","0047","X","0701","3139",6,10
"20","001","003","0003 ","0047","X","0702","3013",1,0
"20","001","003","0003 ","0047","X","0702","3052",2,6
"20","001","003","0003 ","0047","X","0702","3116",3,46
"20","001","003","0003 ","0047","X","0702","3119",4,9
"20","001","003","0003 ","0047","X","0702","3125",5,2
"20","001","003","0003 ","0047","X","0702","3136",6,9
"20","001","003","0003 ","0048","X","0701","3015",1,16
"20","001","003","0003 ","0048","X","0701","3016",2,43
"20","001","003","0003 ","0048","X","0701","3036",3,21
"20","001","003","0003 ","0048","X","0701","3100",4,1
"20","001","003","0003 ","0048","X","0701","3113",5,3
"20","001","003","0003 ","0048","X","0701","3139",6,5
"20","001","003","0003 ","0048","X","0702","3013",1,3
"20","001","003","0003 ","0048","X","0702","3052",2,5
"20","001","003","0003 ","0048","X","0702","3116",3,61
"20","001","003","0003 ","0048","X","0702","3119",4,12
"20","001","003","0003 ","0048","X","0702","3125",5,2
"20","001","003","0003 ","0048","X","0702","3136",6,11
"20","001","003","0003 ","0049","X","0701","3015",1,5
"20","001","003","0003 ","0049","X","0701","3016",2,46
"20","001","003","0003 ","0049","X","0701","3036",3,20
"20","001","003","0003 ","0049","X","0701","3100",4,7
"20","001","003","0003 ","0049","X","0701","3113",5,4
"20","001","003","0003 ","0049","X","0701","3139",6,7
"20","001","003","0003 ","0049","X","0702","3013",1,11
"20","001","003","0003 ","0049","X","0702","3052",2,3
"20","001","003","0003 ","0049","X","0702","3116",3,49
"20","001","003","0003 ","0049","X","0702","3119",4,15
"20","001","003","0003 ","0049","X","0702","3125",5,1
"20","001","003","0003 ","0049","X","0702","3136",6,12
"20","001","003","0003 ","0050","X","0701","3015",1,8
"20","001","003","0003 ","0050","X","0701","3016",2,36
"20","001","003","0003 ","0050","X","0701","3036",3,24
"20","001","003","0003 ","0050","X","0701","3100",4,2
"20","001","003","0003 ","0050","X","0701","3113",5,1
"20","001","003","0003 ","0050","X","0701","3139",6,11
"20","001","003","0003 ","0050","X","0702","3013",1,2
"20","001","003","0003 ","0050","X","0702","3052",2,4
"20","001","003","0003 ","0050","X","0702","3116",3,40
"20","001","003","0003 ","0050","X","0702","3119",4,18
"20","001","003","0003 ","0050","X","0702","3125",5,2
"20","001","003","0003 ","0050","X","0702","3136",6,12
"20","001","003","0003 ","0051","X","0701","3015",1,8
"20","001","003","0003 ","0051","X","0701","3016",2,48
"20","001","003","0003 ","0051","X","0701","3036",3,33
"20","001","003","0003 ","0051","X","0701","3100",4,0
"20","001","003","0003 ","0051","X","0701","3113",5,2
"20","001","003","0003 ","0051","X","0701","3139",6,3
"20","001","003","0003 ","0051","X","0702","3013",1,4
"20","001","003","0003 ","0051","X","0702","3052",2,5
"20","001","003","0003 ","0051","X","0702","3116",3,48
"20","001","003","0003 ","0051","X","0702","3119",4,11
"20","001","003","0003 ","0051","X","0702","3125",5,3
"20","001","003","0003 ","0051","X","0702","3136",6,7
"20","001","003","0003 ","0052","X","0701","3015",1,3
"20","001","003","0003 ","0052","X","0701","3016",2,49
"20","001","003","0003 ","0052","X","0701","3036",3,18
"20","001","003","0003 ","0052","X","0701","3100",4,2
"20","001","003","0003 ","0052","X","0701","3113",5,3
"20","001","003","0003 ","0052","X","0701","3139",6,3
"20","001","003","0003 ","0052","X","0702","3013",1,6
"20","001","003","0003 ","0052","X","0702","3052",2,6
"20","001","003","0003 ","0052","X","0702","3116",3,58
"20","001","003","0003 ","0052","X","0702","3119",4,20
"20","001","003","0003 ","0052","X","0702","3125",5,1
"20","001","003","0003 ","0052","X","0702","3136",6,8
"20","001","003","0003 ","0053","X","0701","3015",1,6
"20","001","003","0003 ","0053","X","0701","3016",2,43
"20","001","003","0003 ","0053","X","0701","3036",3,26
"20","001","003","0003 ","0053","X","0701","3100",4,4
"20","001","003","0003 ","0053","X","0701","3113",5,8
"20","001","003","0003 ","0053","X","0701","3139",6,6
"20","001","003","0003 ","0053","X","0702","3013",1,10
"20","001","003","0003 ","0053","X","0702","3052",2,23
"20","001","003","0003 ","0053","X","0702","3116",3,28
"20","001","003","0003 ","0053","X","0702","3119",4,13
"20","001","003","0003 ","0053","X","0702","3125",5,3
"20","001","003","0003 ","0053","X","0702","3136",6,4
"20","001","003","0003 ","0054","X","0701","3015",1,6
"20","001","003","0003 ","0054","X","0701","3016",2,44
"20","001","003","0003 ","0054","X","0701","3036",3,24
"20","001","003","0003 ","0054","X","0701","3100",4,4
"20","001","003","0003 ","0054","X","0701","3113",5,6
"20","001","003","0003 ","0054","X","0701","3139",6,10
"20","001","003","0003 ","0054","X","0702","3013",1,2
"20","001","003","0003 ","0054","X","0702","3052",2,1
"20","001","003","0003 ","0054","X","0702","3116",3,45
"20","001","003","0003 ","0054","X","0702","3119",4,6
"20","001","003","0003 ","0054","X","0702","3125",5,0
