sub_proCodigoProvincia,sub_depCodigoDepartamento,sub_munCodigoMunicipio,sub_mesCodigoCircuito,sub_mesCodigoMesa,sub_mesCodSexo,sub_votparCodigo,sub_parCodigo,ordenPartidos,subVotosPartido
"20","001","003","0003 ","0041","X","0701","3006",1,72
"20","001","003","0003 ","0041","X","0701","3023",2,6
"20","001","003","0003 ","0041","X","0701","3038",3,22
"20","001","003","0003 ","0041","X","0701","3043",4,6
"20","001","003","0003 ","0041","X","0701","3051",5,4
"20","001","003","0003 ","0041","X","0701","3088",6,1
"20","001","003","0003 ","0041","X","0701","3138",7,6
"20","001","003","0003 ","0041","X","0702","3097",1,12
"20","001","003","0003 ","0041","X","0702","3118",2,0
"20","001","003","0003 ","0041","X","0702","3121",3,45
"20","001","003","0003 ","0042","X","0701","3006",1,45
"20","001","003","0003 ","0042","X","0701","3023",2,4
"20","001","003","0003 ","0042","X","0701","3038",3,22
"20","001","003","0003 ","0042","X","0701","3043",4,1
"20","001","003","0003 ","0042","X","0701","3051",5,4
"20","001","003","0003 ","0042","X","0701","3088",6,3
"20","001","003","0003 ","0042","X","0701","3138",7,9
"20","001","003","0003 ","0042","X","0702","3097",1,2
"20","001","003","0003 ","0042","X","0702","3118",2,15
"20","001","003","0003 ","0042","X","0702","3121",3,66
"20","001","003","0003 ","0043","X","0701","3006",1,62
"20","001","003","0003 ","0043","X","0701","3023",2,7
"20","001","003","0003 ","0043","X","0701","3038",3,12
"20","001","003","0003 ","0043","X","0701","3043",4,0
"20","001","003","0003 ","0043","X","0701","3051",5,2
"20","001","003","0003 ","0043","X","0701","3088",6,3
"20","001","003","0003 ","0043","X","0701","3138",7,9
"20","001","003","0003 ","0043","X","0702","3097",1,0
"20","001","003","0003 ","0043","X","0702","3118",2,8
"20","001","003","0003 ","0043","X","0702","3121",3,54
"20","001","003","0003 ","0044","X","0701","3006",1,60
"20","001","003","0003 ","0044","X","0701","3023",2,2
"20","001","003","0003 ","0044","X","0701","3038",3,17
"20","001","003","0003 ","0044","X","0701","3043",4,1
