can_proCodigoProvincia,can_parFormula,canNombreForm1,canNombreForm2,canColor
"02","0131","FERNANDEZ, ANIBAL","- SABBATELLA, MARTIN","000000"
"02","0132","LINARES, JAIME","- PUGLIESE, JUAN CARLOS","000000"
"02","0137","PITROLA, NESTOR ANTONIO","- SOBRERO, RUBEN DARIO","000000"
"02","0138","SOLA, FELIPE CARLOS","- ARROYO, DANIEL FERNANDO","000000"
"02","0145","VIDAL, MARIA EUGENIA","- SALVADOR, DANIEL MARCELO","000000"
"03","0501","CORPACCI, LUCIA BENIGNA","- GUTIERREZ, VICTOR OCTAVIO","000000"
"03","0524","BRIZUELA DEL MORAL, EDUARDO SEGUNDO","- JUAREZ, MYRIAM DEL VALLE","000000"
"03","0528","RIVERA, MARCELO DANIEL","- DIAZ, ZULLY DEL CARMEN","000000"
"07","0152","PETERSEN, OSCAR","- AVILA, MARTIN","000000"
"07","0501","BUZZI, MARTIN","- GARITANO, JUAN","000000"
"07","0530","LORENZO, CARLOS","- LEIVA, MARIA","000000"
"07","0531","DAS NEVES, MARIO","- ARCIONI, MARIANO","000000"
"08","0023","FUERTES, ADRIAN FEDERICO","- BUSTI, JORGE PEDRO","000000"
"08","0050","VIALE, LISANDRO ALFREDO","- SIMON, MARINA","000000"
"08","0501","BORDET, GUSTAVO EDUARDO","- BAHL, ADAN HUMBERTO","000000"
"08","0502","DE ANGELI, ALFREDO LUIS","- GODOY, JUAN CARLOS LUCIO","000000"
"10","0068","RIVERO, BETINA AMELIA","- CONDORI, HUGO MIGUEL","000000"
"10","0072","ALBA, JUAN PABLO","- ACOSTA, CESAR GUILLERMO","000000"
"10","0103","MORALES, NATALIA ANDREA","- ALDASORO, MARTIN IÑAKI","000000"
"10","0179","MORALES, GERARDO RUBEN","- HAQUIN, CARLOS GUILLERMO","000000"
"10","0251","QUISPE, ARMANDO LISANDRO","- SOSA, ANTONIO JULIO","000000"
"10","0406","SANTILLAN, CARLOS NOLASCO","- CULCUY, MARIO CESAR","000000"
"10","0501","FELLNER, EDUARDO ALFREDO","- JENEFES, GUILLERMO RAUL","000000"
"14","0071","COUTOUNE, MARIO EDUARDO","- RAMISCH, GUILLERMO MAXIMILIANO","000000"
"14","0616","ARANDA, ALFREDO WENCESLAO","- DOMINGUEZ, CESAR OSCAR","000000"
"14","0625","BENITEZ, ROBERTO ORLANDO","- DUARTE, FRANCISCO ESTEBAN","000000"
"14","0900","PASSALACQUA, HUGO MARIO","- HERRERA AHUAD, OSCAR ALBERTO","000000"
"14","0901","PASAMAN ZNACOVSKI, JUAN","- ROSENFELD, VICTOR ALFREDO","000000"
"14","0902","BARBARO, HECTOR ORLANDO","- CIARMIELLO, DIEGO SEBASTIAN","000000"
"14","0903","ZIEGLER, ALEX ROBERTO","- PEGORARO, MARIO DIONISIO","000000"
"14","0905","GONZALEZ, GUSTAVO ALBERTO","- FERNANDEZ FLORES, NORMA EDITH","000000"
"14","0906","VELAZQUEZ, RAMON DEL ROSARIO","- SANTA CRUZ, MIGUEL EGIDIO","000000"
"14","0907","VELAZQUEZ, ADOLFO","- SAN JOSE, NELSON RICARDO","000000"
"18","0068","GARRIDO, MARY","- CAMPOS LESCANO, SERGIO FRANCISCO","000000"
"18","0153","AVELIN, ALFREDO","- NAVAS, CARLOS EMETERIO","000000"
"18","0501","UÑAC, SERGIO","- LIMA, MARCELO","000000"
"18","0518","BASUALDO, ROBERTO","- CONTI, ENRIQUE","000000"
"18","0526","KUCHEN, BENJAMIN RAFAEL","- SUAREZ JOFRE, LUIS CONRADO","000000"
"18","0821","TURCUMAN, MARTIN","- COSTAMAGNA, GUSTAVO","000000"
"19","0057","NOGUEIRA LUCERO, FABRICIO FERNANDO FLAVIO","- PONCE, JORGE LUIS","000000"
"19","0131","GONZALEZ ESPINDOLA, HECTOR DANIEL","- GUARDIA, SERGIO LUIS","000000"
"19","0133","RODRIGUEZ SAA, ALBERTO JOSE","- PONCE, CARLOS YBRHAIN","000000"
"19","0135","RICCARDO, JOSE LUIS","- BELLETINI, CARLOS MIGUEL","000000"
"19","0665","CONTRERAS, ROLANDO MANUEL","- GUEVARA, HECTOR HUGO","000000"
"20","0013","NAUTO, GUSTAVO DANIEL","- MIGANI, MONICA INES","000000"
"20","0038","POLIAK, EMILIO ALEJANDRO","- STEKAR, ANABEL IRENE","000000"
"20","0103","VALENTIN, JUAN M.","- VILLAMAYOR, NORMA DINA","000000"
"20","3038","PEREZ, OSVALDO FRANCISCO","- VILLARROEL, ANA VIRGINIA","000000"
"20","3077","COSTA, EDUARDO RAUL","- ZIEHLKE, CARLOS JORGE","000000"
"20","3118","PERALTA, DANIEL ROMAN","- VENTURELLI, FRANCISCO MANUEL","000000"
"20","3121","KIRCHNER, ALICIA MARGARITA ANTONIA","- GONZALEZ, PABLO GERARDO","000000"
"88","0131","FERNANDEZ, ANIBAL","- SABBATELLA, MARTIN","000000"
"88","0132","LINARES, JAIME","- PUGLIESE, JUAN CARLOS","000000"
"88","0137","PITROLA, NESTOR ANTONIO","- SOBRERO, RUBEN DARIO","000000"
"88","0138","SOLA, FELIPE CARLOS","- ARROYO, DANIEL FERNANDO","000000"
"88","0145","VIDAL, MARIA EUGENIA","- SALVADOR, DANIEL MARCELO","000000"
