mun_CodigoProvincia,mun_CodigoDepartamento,mun_CodigoMunicipio,munNombre
"20","001","003","Caleta Olivia"
"20","001","004","Las Heras"
"20","001","005","Pico Truncado"
"20","001","006","Puerto Deseado"
"20","001","502","Cañadón Seco"
"20","001","505","Jaramillo - Fitz Roy"
"20","001","506","Koluel Kaike"
"20","002","011","Los Antiguos"
"20","002","012","Perito Moreno"
"20","003","013","Puerto San Julián"
"20","004","014","Gobernador Gregores"
"20","004","501","Bajo Caracoles"
"20","004","503","Hipólito Yrigoyen"
"20","005","001","Comandante Luis Piedrabuena"
"20","005","002","Puerto Santa Cruz"
"20","006","010","El Calafate"
"20","006","504","El Chalten"
"20","006","507","Tres Lagos"
"20","007","007","Río Gallegos"
"20","007","008","Río Turbio"
"20","007","009","28 de Noviembre"
