parCodigo,parSiglas,parDenominacion,parColor
"0002","JUSTICIALISTA                                     ","JUSTICIALISTA                                                                                       ","8C6E6E"
"0003","UNION CIVICA RADICAL                              ","UNION CIVICA RADICAL                                                                                ","595959"
"0012","COMUNISTA                                         ","COMUNISTA                                                                                           ","FF0000"
"0013","MOVIMIENTO AL SOCIALISMO                          ","MOVIMIENTO AL SOCIALISMO                                                                            ","a30501"
"0023","UNION POPULAR                                     ","UNION POPULAR                                                                                       ","C00000"
"0030","SOCIALISTA AUTENTICO                              ","SOCIALISTA AUTENTICO                                                                                ","F79646"
"0038","MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES     ","MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                       ","F79646"
"0040","MOVIMIENTO LIBRES DEL SUR                         ","MOVIMIENTO LIBRES DEL SUR                                                                           ","820000"
"0041","KOLINA                                            ","KOLINA                                                                                              ","153315"
"0042","ENCUENTRO CIUDADANO                               ","ENCUENTRO CIUDADANO                                                                                 ","B81A34"
"0043","COALICION CIVICA ARI                              ","COALICION CIVICA ARI                                                                                ","F31515"
"0044","DE LA VICTORIA                                    ","DE LA VICTORIA                                                                                      ","0DC95B"
"0045","DESARROLLO SANTACRUCEÑO                           ","DESARROLLO SANTACRUCEÑO                                                                             ","0DAB79"
"0046","PRIMERO SANTA CRUZ                                ","PRIMERO SANTA CRUZ                                                                                  ","B51515"
"0047","SOCIALISMO SANTACRUCEÑO                           ","SOCIALISMO SANTACRUCEÑO                                                                             ","7B0015"
"0050","SOCIALISTA                                        ","SOCIALISTA                                                                                          ","66CCFF"
"0057","MOVIMIENTO DE ACCION VECINAL                      ","MOVIMIENTO DE ACCION VECINAL                                                                        ","008000"
"0060","MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD      ","MOVIMIENTO INDEPENDIENTE JUSTICIA Y DIGNIDAD                                                        ","CC0000"
"0061","IZQUIERDA POR UNA OPCION SOCIALISTA               ","IZQUIERDA POR UNA OPCION SOCIALISTA                                                                 ","00B0F0"
"0063","ES POSIBLE                                        ","ES POSIBLE                                                                                          ","FFFF99"
"0064","PROPUESTA REPUBLICANA                             ","PROPUESTA REPUBLICANA                                                                               ","159533"
"0065","UNION CELESTE Y BLANCO                            ","UNION CELESTE Y BLANCO                                                                              ","FF5050"
"0068","NUEVA IZQUIERDA                                   ","NUEVA IZQUIERDA                                                                                     ","e9897f"
"0069","GEN                                               ","GEN                                                                                                 ","FFFF00"
"0070","DE TRABAJADORES POR EL SOCIALISMO                 ","DE TRABAJADORES POR EL SOCIALISMO                                                                   ","CC3300"
"0071","DEL OBRERO                                        ","DEL OBRERO                                                                                          ","DDD9C3"
"0072","INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR       ","INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         ","CCC0DA"
"0074","PARTIDO DEL TRABAJO Y DEL PUEBLO                  ","PARTIDO DEL TRABAJO Y DEL PUEBLO                                                                    ","FFCCFF"
"0075","PARTIDO DE LA CONCERTACION FORJA                  ","PARTIDO DE LA CONCERTACION FORJA                                                                    ","001515"
"0076","DE LA CULTURA LA EDUCACION Y EL TRABAJO           ","DE LA CULTURA LA EDUCACION Y EL TRABAJO                                                             ","07ad0b"
"0081","PARTIDO POPULAR                                   ","PARTIDO POPULAR                                                                                     ","07ad0b"
