vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_parCodigo,ordenPartidos,votVotosPartido,votPorcenVotos,votCandidatos
"20","001","003","0103",3,1105,4.67999983e+00,0
"20","001","003","0701",1,11957,5.06399994e+01,1
"20","001","003","0702",2,10548,4.46800003e+01,0
"20","001","004","0103",3,296,3.06999993e+00,0
"20","001","004","0701",2,4127,4.27900009e+01,0
"20","001","004","0702",1,5222,5.41399994e+01,1
"20","001","005","0103",3,199,2.06999993e+00,0
"20","001","005","0701",1,5509,5.74099998e+01,1
"20","001","005","0702",2,3888,4.05200005e+01,0
"20","001","006","0103",3,100,1.50000000e+00,0
"20","001","006","0701",2,2171,3.25400009e+01,0
"20","001","006","0702",1,4401,6.59599991e+01,1
"20","002","011","0103",3,97,4.26999998e+00,0
"20","002","011","0701",2,314,1.38199997e+01,0
"20","002","011","0702",1,1861,8.19100037e+01,1
"20","002","012","0103",3,157,4.67000008e+00,0
"20","002","012","0701",2,928,2.76299992e+01,0
"20","002","012","0702",1,2274,6.76999969e+01,1
"20","003","013","0701",1,3225,5.92599983e+01,1
"20","003","013","0702",2,2217,4.07400017e+01,0
"20","004","014","0103",3,171,7.92999983e+00,0
"20","004","014","0701",2,544,2.52299995e+01,0
"20","004","014","0702",1,1441,6.68399963e+01,1
"20","005","001","0701",2,1348,3.44000015e+01,0
"20","005","001","0702",1,2571,6.55999985e+01,1
"20","005","002","0103",3,54,1.97000003e+00,0
"20","005","002","0701",2,530,1.92900009e+01,0
"20","005","002","0702",1,2163,7.87399979e+01,1
"20","006","010","0103",3,350,3.73000002e+00,0
"20","006","010","0701",2,2606,2.78099995e+01,0
"20","006","010","0702",1,6416,6.84599991e+01,1
"20","007","007","0038",4,251,4.79999989e-01,0
"20","007","007","0103",3,1996,3.84999990e+00,0
"20","007","007","0701",1,27611,5.32999992e+01,1
"20","007","007","0702",2,21948,4.23699989e+01,0
"20","007","008","0701",2,2435,4.62700005e+01,0
"20","007","008","0702",1,2828,5.37299995e+01,1
"20","007","009","0103",3,111,2.61999989e+00,0
"20","007","009","0701",2,1132,2.67199993e+01,0
"20","007","009","0702",1,2993,7.06600037e+01,1
