vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_parCodigo,ordenPartidos,votVotosPartido,votPorcenVotos,votCandidatos
"01","001","999","0131",2,30616,2.47600002e+01,0
"01","001","999","0132",4,8122,6.57000017e+00,0
"01","001","999","0135",1,58361,4.71899986e+01,0
"01","001","999","0137",5,6739,5.44999981e+00,0
"01","001","999","0138",3,16130,1.30400000e+01,0
"01","001","999","0186",6,3707,3.00000000e+00,0
"01","002","999","0131",2,13686,1.28599997e+01,0
"01","002","999","0132",3,9055,8.51000023e+00,0
"01","002","999","0135",1,68357,6.42099991e+01,0
"01","002","999","0137",5,3858,3.61999989e+00,0
"01","002","999","0138",4,9022,8.47000027e+00,0
"01","002","999","0186",6,2484,2.32999992e+00,0
"01","003","999","0131",2,30075,2.54200001e+01,0
"01","003","999","0132",4,8806,7.44000006e+00,0
"01","003","999","0135",1,48858,4.12900009e+01,0
"01","003","999","0137",5,7774,6.57000017e+00,0
"01","003","999","0138",3,18578,1.56999998e+01,0
"01","003","999","0186",6,4244,3.58999991e+00,0
"01","004","999","0131",2,40348,3.02500000e+01,0
"01","004","999","0132",5,7765,5.82000017e+00,0
"01","004","999","0135",1,51936,3.89300003e+01,0
"01","004","999","0137",4,8005,6.00000000e+00,0
"01","004","999","0138",3,21846,1.63799992e+01,0
"01","004","999","0186",6,3495,2.61999989e+00,0
"01","005","999","0131",2,29532,2.44099998e+01,0
"01","005","999","0132",4,11382,9.40999985e+00,0
"01","005","999","0135",1,48770,4.03100014e+01,0
"01","005","999","0137",5,8097,6.69000006e+00,0
"01","005","999","0138",3,17727,1.46499996e+01,0
"01","005","999","0186",6,5471,4.51999998e+00,0
"01","006","999","0131",2,25533,2.01200008e+01,0
"01","006","999","0132",4,13748,1.08299999e+01,0
"01","006","999","0135",1,57358,4.51899986e+01,0
"01","006","999","0137",5,7452,5.86999989e+00,0
"01","006","999","0138",3,17006,1.33999996e+01,0
"01","006","999","0186",6,5832,4.59000015e+00,0
"01","007","999","0131",2,31901,2.42999992e+01,0
"01","007","999","0132",4,10961,8.35000038e+00,0
"01","007","999","0135",1,53883,4.10499992e+01,0
"01","007","999","0137",5,7624,5.80999994e+00,0
"01","007","999","0138",3,22077,1.68199997e+01,0
"01","007","999","0186",6,4817,3.67000008e+00,0
"01","008","999","0131",2,35825,3.41800003e+01,0
"01","008","999","0132",5,4456,4.25000000e+00,0
"01","008","999","0135",1,36344,3.46800003e+01,0
"01","008","999","0137",4,5145,4.90999985e+00,0
"01","008","999","0138",3,21175,2.02000008e+01,0
"01","008","999","0186",6,1856,1.76999998e+00,0
"01","009","999","0131",2,29775,2.60300007e+01,0
"01","009","999","0132",4,7859,6.86999989e+00,0
"01","009","999","0135",1,44210,3.86500015e+01,0
"01","009","999","0137",5,6229,5.44999981e+00,0
"01","009","999","0138",3,23216,2.02999992e+01,0
"01","009","999","0186",6,3094,2.70000005e+00,0
"01","010","999","0131",2,26596,2.26100006e+01,0
"01","010","999","0132",4,10122,8.60999966e+00,0
"01","010","999","0135",1,48427,4.11699982e+01,0
"01","010","999","0137",5,7099,6.03999996e+00,0
"01","010","999","0138",3,20858,1.77299995e+01,0
"01","010","999","0186",6,4512,3.83999991e+00,0
"01","011","999","0131",2,28436,2.08199997e+01,0
"01","011","999","0132",4,12905,9.44999981e+00,0
"01","011","999","0135",1,61448,4.50000000e+01,0
"01","011","999","0137",5,7430,5.44000006e+00,0
"01","011","999","0138",3,21023,1.53900003e+01,0
"01","011","999","0186",6,5317,3.89000010e+00,0
"01","012","999","0131",2,30548,2.05400009e+01,0
"01","012","999","0132",4,14087,9.47000027e+00,0
"01","012","999","0135",1,69919,4.70099983e+01,0
"01","012","999","0137",5,8375,5.63000011e+00,0
"01","012","999","0138",3,20360,1.36899996e+01,0
"01","012","999","0186",6,5440,3.66000009e+00,0
"01","013","999","0131",2,24641,1.47500000e+01,0
"01","013","999","0132",3,17699,1.06000004e+01,0
"01","013","999","0135",1,96096,5.75299988e+01,0
"01","013","999","0137",5,7368,4.40999985e+00,0
"01","013","999","0138",4,16200,9.69999981e+00,0
"01","013","999","0186",6,5026,3.00999999e+00,0
"01","014","999","0131",2,24978,1.58299999e+01,0
"01","014","999","0132",3,15747,9.97999954e+00,0
"01","014","999","0135",1,91067,5.77200012e+01,0
"01","014","999","0137",5,6860,4.34999990e+00,0
"01","014","999","0138",4,14617,9.26000023e+00,0
"01","014","999","0186",6,4517,2.85999990e+00,0
"01","015","999","0131",2,30819,2.44099998e+01,0
"01","015","999","0132",4,12402,9.81999969e+00,0
"01","015","999","0135",1,50569,4.00600014e+01,0
"01","015","999","0137",5,8255,6.53999996e+00,0
"01","015","999","0138",3,17887,1.41700001e+01,0
"01","015","999","0186",6,6309,5.00000000e+00,0
"01","999","999","0131",2,433309,2.23999996e+01,3
"01","999","999","0132",4,165116,8.53999996e+00,1
"01","999","999","0135",1,885603,4.57900009e+01,6
"01","999","999","0137",5,106310,5.50000000e+00,0
"01","999","999","0138",3,277722,1.43599997e+01,2
"01","999","999","0186",6,66121,3.42000008e+00,0
"02","001","999","0131",2,2688,2.92099991e+01,0
"02","001","999","0132",4,272,2.96000004e+00,0
"02","001","999","0137",5,128,1.38999999e+00,0
"02","001","999","0138",3,1156,1.25600004e+01,0
"02","001","999","0145",1,4957,5.38699989e+01,0
"02","002","999","0131",2,2701,4.04500008e+01,0
"02","002","999","0132",4,137,2.04999995e+00,0
"02","002","999","0137",5,99,1.48000002e+00,0
"02","002","999","0138",3,732,1.09600000e+01,0
"02","002","999","0145",1,3009,4.50600014e+01,0
"02","003","999","0131",1,131299,4.30000000e+01,0
"02","003","999","0132",5,10153,3.32999992e+00,0
"02","003","999","0137",4,16612,5.44000006e+00,0
"02","003","999","0138",3,64659,2.11800003e+01,0
"02","003","999","0145",2,82618,2.70599995e+01,0
"02","004","999","0131",1,81333,3.87799988e+01,0
"02","004","999","0132",5,8087,3.85999990e+00,0
"02","004","999","0137",4,11284,5.38000011e+00,0
"02","004","999","0138",3,38981,1.85900002e+01,0
"02","004","999","0145",2,70034,3.33899994e+01,0
"02","005","999","0131",2,3688,3.44700012e+01,0
"02","005","999","0132",5,283,2.65000010e+00,0
"02","005","999","0137",4,322,3.00999999e+00,0
"02","005","999","0138",3,1114,1.04099998e+01,0
"02","005","999","0145",1,5291,4.94599991e+01,0
"02","006","999","0131",2,11517,3.12000008e+01,0
"02","006","999","0132",3,6449,1.74699993e+01,0
"02","006","999","0137",5,1077,2.92000008e+00,0
"02","006","999","0138",4,5549,1.50299997e+01,0
"02","006","999","0145",1,12322,3.33800011e+01,0
"02","007","999","0131",2,39360,2.43299999e+01,0
"02","007","999","0132",5,9954,6.15000010e+00,0
"02","007","999","0137",4,10233,6.32999992e+00,0
"02","007","999","0138",3,27784,1.71700001e+01,0
"02","007","999","0145",1,74454,4.60200005e+01,0
"02","008","999","0131",2,6843,2.67399998e+01,0
"02","008","999","0132",5,567,2.22000003e+00,0
"02","008","999","0137",4,568,2.22000003e+00,0
"02","008","999","0138",3,4735,1.85000000e+01,0
"02","008","999","0145",1,12877,5.03199997e+01,0
"02","009","999","0131",1,7528,3.88199997e+01,0
"02","009","999","0132",5,318,1.63999999e+00,0
"02","009","999","0137",4,672,3.47000003e+00,0
"02","009","999","0138",3,3858,1.98999996e+01,0
"02","009","999","0145",2,7015,3.61800003e+01,0
"02","010","999","0131",2,6413,3.51699982e+01,0
"02","010","999","0132",4,610,3.34999990e+00,0
"02","010","999","0137",5,333,1.83000004e+00,0
"02","010","999","0138",3,3021,1.65699997e+01,0
"02","010","999","0145",1,7856,4.30900002e+01,0
"02","011","999","0131",1,78298,4.33699989e+01,0
"02","011","999","0132",5,5183,2.86999989e+00,0
"02","011","999","0137",4,9831,5.44999981e+00,0
"02","011","999","0138",3,39715,2.20000000e+01,0
"02","011","999","0145",2,47511,2.63199997e+01,0
"02","012","999","0131",1,19080,3.52000008e+01,0
"02","012","999","0132",5,1855,3.42000008e+00,0
"02","012","999","0137",4,3184,5.86999989e+00,0
"02","012","999","0138",3,12082,2.22900009e+01,0
"02","012","999","0145",2,18000,3.32099991e+01,0
"02","013","999","0131",2,8029,3.76100006e+01,0
"02","013","999","0132",4,588,2.75000000e+00,0
"02","013","999","0137",5,450,2.10999990e+00,0
"02","013","999","0138",3,2994,1.40200005e+01,0
"02","013","999","0145",1,9288,4.35099983e+01,0
"02","014","999","0131",2,9963,3.79099998e+01,0
"02","014","999","0132",5,514,1.96000004e+00,0
"02","014","999","0137",4,533,2.02999997e+00,0
"02","014","999","0138",3,2870,1.09200001e+01,0
"02","014","999","0145",1,12399,4.71800003e+01,0
"02","015","999","0131",2,5668,3.75400009e+01,0
"02","015","999","0132",5,286,1.88999999e+00,0
"02","015","999","0137",4,533,3.52999997e+00,0
"02","015","999","0138",3,1995,1.32100000e+01,0
"02","015","999","0145",1,6615,4.38199997e+01,0
"02","016","999","0131",2,17758,3.34300003e+01,0
"02","016","999","0132",5,1355,2.54999995e+00,0
"02","016","999","0137",4,2281,4.28999996e+00,0
"02","016","999","0138",3,9843,1.85300007e+01,0
"02","016","999","0145",1,21884,4.12000008e+01,0
"02","017","999","0131",1,12333,4.09300003e+01,0
"02","017","999","0132",5,607,2.00999999e+00,0
"02","017","999","0137",4,1221,4.05000019e+00,0
"02","017","999","0138",3,6315,2.09599991e+01,0
"02","017","999","0145",2,9655,3.20400009e+01,0
"02","018","999","0131",2,2596,3.18299999e+01,0
"02","018","999","0132",4,540,6.61999989e+00,0
"02","018","999","0137",5,153,1.88000000e+00,0
"02","018","999","0138",3,1579,1.93600006e+01,0
"02","018","999","0145",1,3287,4.03100014e+01,0
"02","019","999","0131",2,4801,3.65200005e+01,0
"02","019","999","0132",4,372,2.82999992e+00,0
"02","019","999","0137",5,353,2.68000007e+00,0
"02","019","999","0138",3,1722,1.31000004e+01,0
"02","019","999","0145",1,5900,4.48699989e+01,0
"02","020","999","0131",2,3223,4.10699997e+01,0
"02","020","999","0132",5,110,1.39999998e+00,0
"02","020","999","0137",4,131,1.66999996e+00,0
"02","020","999","0138",3,591,7.53000021e+00,0
"02","020","999","0145",1,3793,4.83300018e+01,0
"02","021","999","0131",1,3786,4.32099991e+01,0
"02","021","999","0132",5,89,1.01999998e+00,0
"02","021","999","0137",4,127,1.45000005e+00,0
"02","021","999","0138",3,1137,1.29799995e+01,0
"02","021","999","0145",2,3623,4.13499985e+01,0
"02","022","999","0131",2,6436,3.82900009e+01,0
"02","022","999","0132",4,402,2.39000010e+00,0
"02","022","999","0137",5,363,2.16000009e+00,0
"02","022","999","0138",3,2992,1.77999992e+01,0
"02","022","999","0145",1,6617,3.93600006e+01,0
"02","023","999","0131",1,2308,4.45800018e+01,0
"02","023","999","0132",4,92,1.77999997e+00,0
"02","023","999","0137",5,59,1.13999999e+00,0
"02","023","999","0138",3,527,1.01800003e+01,0
"02","023","999","0145",2,2191,4.23199997e+01,0
"02","024","999","0131",1,5771,4.08300018e+01,0
"02","024","999","0132",4,737,5.21000004e+00,0
"02","024","999","0137",5,445,3.15000010e+00,0
"02","024","999","0138",3,1976,1.39799995e+01,0
"02","024","999","0145",2,5204,3.68199997e+01,0
"02","025","999","0131",2,2900,3.11800003e+01,0
"02","025","999","0132",4,266,2.85999990e+00,0
"02","025","999","0137",5,175,1.88000000e+00,0
"02","025","999","0138",3,985,1.05900002e+01,0
"02","025","999","0145",1,4976,5.34900017e+01,0
"02","026","999","0131",2,4230,3.28800011e+01,0
"02","026","999","0132",4,397,3.08999991e+00,0
"02","026","999","0137",5,333,2.58999991e+00,0
"02","026","999","0138",3,1706,1.32600002e+01,0
"02","026","999","0145",1,6200,4.81899986e+01,0
"02","027","999","0131",2,6592,2.01800003e+01,0
"02","027","999","0132",4,1181,3.61999989e+00,0
"02","027","999","0137",5,1092,3.33999991e+00,0
"02","027","999","0138",3,6433,1.97000008e+01,0
"02","027","999","0145",1,17364,5.31599998e+01,0
"02","028","999","0131",2,6613,2.98700008e+01,0
"02","028","999","0132",4,634,2.85999990e+00,0
"02","028","999","0137",5,582,2.63000011e+00,0
"02","028","999","0138",3,3680,1.66200008e+01,0
"02","028","999","0145",1,10632,4.80200005e+01,0
"02","029","999","0131",2,12307,4.01399994e+01,0
"02","029","999","0132",4,860,2.80999994e+00,0
"02","029","999","0137",5,698,2.27999997e+00,0
"02","029","999","0138",3,4036,1.31599998e+01,0
"02","029","999","0145",1,12757,4.16100006e+01,0
"02","030","999","0131",2,6361,2.82800007e+01,0
"02","030","999","0132",4,914,4.05999994e+00,0
"02","030","999","0137",5,668,2.97000003e+00,0
"02","030","999","0138",3,5085,2.26100006e+01,0
"02","030","999","0145",1,9462,4.20699997e+01,0
"02","031","999","0131",1,17275,4.06300011e+01,0
