vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_parCodigo,ordenPartidos,votVotosPartido,votPorcenVotos,votCandidatos
"02","002","999","0131",2,2700,4.03600006e+01,0
"02","002","999","0132",4,183,2.74000001e+00,0
"02","002","999","0137",5,91,1.36000001e+00,0
"02","002","999","0138",3,659,9.85000038e+00,0
"02","002","999","0145",1,3057,4.57000008e+01,0
"02","005","999","0131",2,3659,3.43100014e+01,0
"02","005","999","0132",5,208,1.95000005e+00,0
"02","005","999","0137",4,273,2.55999994e+00,0
"02","005","999","0138",3,934,8.76000023e+00,0
"02","005","999","0145",1,5592,5.24300003e+01,0
"02","006","999","0131",2,11372,3.18299999e+01,0
"02","006","999","0132",3,5690,1.59300003e+01,0
"02","006","999","0137",5,927,2.58999991e+00,0
"02","006","999","0138",4,4791,1.34099998e+01,0
"02","006","999","0145",1,12949,3.62400017e+01,0
"02","008","999","0131",2,6725,2.63400002e+01,0
"02","008","999","0132",5,424,1.65999997e+00,0
"02","008","999","0137",4,499,1.95000005e+00,0
"02","008","999","0138",3,4100,1.60599995e+01,0
"02","008","999","0145",1,13786,5.39900017e+01,0
"02","013","999","0131",2,8694,4.12700005e+01,0
"02","013","999","0132",4,584,2.76999998e+00,0
"02","013","999","0137",5,380,1.79999995e+00,0
"02","013","999","0138",3,2599,1.23400002e+01,0
"02","013","999","0145",1,8811,4.18199997e+01,0
"02","014","999","0131",2,10042,3.84799995e+01,0
"02","014","999","0132",5,423,1.62000000e+00,0
"02","014","999","0137",4,444,1.70000005e+00,0
"02","014","999","0138",3,2362,9.05000019e+00,0
"02","014","999","0145",1,12828,4.91500015e+01,0
"02","016","999","0131",2,17601,3.30699997e+01,0
"02","016","999","0132",5,1089,2.04999995e+00,0
"02","016","999","0137",4,2086,3.92000008e+00,0
"02","016","999","0138",3,9023,1.69500008e+01,0
"02","016","999","0145",1,23422,4.40099983e+01,0
"02","019","999","0131",2,5067,3.89599991e+01,0
"02","019","999","0132",5,288,2.21000004e+00,0
