vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_forCodigo,ordenPartidos,votVotosFormula,votPorcenVotosFormula
"02","001","999","0131",2,2606,2.75000000e+01
"02","001","999","0132",4,196,2.06999993e+00
"02","001","999","0137",5,95,1.00000000e+00
"02","001","999","0138",3,1015,1.07100000e+01
"02","001","999","0145",1,5565,5.87200012e+01
"02","002","999","0131",2,2662,3.76199989e+01
"02","002","999","0132",5,78,1.10000002e+00
"02","002","999","0137",4,81,1.13999999e+00
"02","002","999","0138",3,819,1.15699997e+01
"02","002","999","0145",1,3436,4.85600014e+01
"02","003","999","0131",1,122387,4.03499985e+01
"02","003","999","0132",5,7755,2.55999994e+00
"02","003","999","0137",4,14461,4.76999998e+00
"02","003","999","0138",3,60214,1.98500004e+01
"02","003","999","0145",2,98481,3.24700012e+01
"02","004","999","0131",2,78451,3.67500000e+01
"02","004","999","0132",5,5719,2.68000007e+00
"02","004","999","0137",4,9314,4.36000013e+00
"02","004","999","0138",3,35671,1.67099991e+01
"02","004","999","0145",1,84324,3.95000000e+01
"02","005","999","0131",2,3638,3.25900002e+01
"02","005","999","0132",5,180,1.61000001e+00
"02","005","999","0137",4,273,2.45000005e+00
"02","005","999","0138",3,1073,9.60999966e+00
"02","005","999","0145",1,5998,5.37400017e+01
"02","006","999","0131",2,11325,3.00400009e+01
"02","006","999","0132",4,2374,6.30000019e+00
"02","006","999","0137",5,838,2.22000003e+00
"02","006","999","0138",3,5357,1.42100000e+01
"02","006","999","0145",1,17805,4.72299995e+01
"02","007","999","0131",2,37529,2.25699997e+01
"02","007","999","0132",4,9135,5.48999977e+00
"02","007","999","0137",5,8166,4.90999985e+00
"02","007","999","0138",3,25006,1.50400000e+01
"02","007","999","0145",1,86424,5.19799995e+01
"02","008","999","0131",2,6531,2.47199993e+01
"02","008","999","0132",5,300,1.13999999e+00
"02","008","999","0137",4,464,1.75999999e+00
"02","008","999","0138",3,4273,1.61700001e+01
"02","008","999","0145",1,14851,5.62099991e+01
"02","009","999","0131",2,7219,3.64300003e+01
"02","009","999","0132",5,200,1.00999999e+00
"02","009","999","0137",4,559,2.81999993e+00
"02","009","999","0138",3,3582,1.80799999e+01
"02","009","999","0145",1,8255,4.16599998e+01
"02","010","999","0131",2,6297,3.35999985e+01
"02","010","999","0132",4,470,2.50999999e+00
"02","010","999","0137",5,243,1.29999995e+00
"02","010","999","0138",3,2957,1.57799997e+01
"02","010","999","0145",1,8772,4.68100014e+01
"02","011","999","0131",1,72345,3.99799995e+01
"02","011","999","0132",5,4189,2.30999994e+00
"02","011","999","0137",4,8595,4.75000000e+00
"02","011","999","0138",3,37117,2.05100002e+01
"02","011","999","0145",2,58728,3.24500008e+01
"02","012","999","0131",2,18335,3.28699989e+01
"02","012","999","0132",5,1423,2.54999995e+00
"02","012","999","0137",4,2788,5.00000000e+00
"02","012","999","0138",3,11562,2.07299995e+01
"02","012","999","0145",1,21679,3.88600006e+01
"02","013","999","0131",2,7739,3.49799995e+01
"02","013","999","0132",5,324,1.46000004e+00
"02","013","999","0137",4,350,1.58000004e+00
"02","013","999","0138",3,2984,1.34899998e+01
"02","013","999","0145",1,10724,4.84799995e+01
"02","014","999","0131",2,9668,3.60400009e+01
"02","014","999","0132",5,310,1.15999997e+00
"02","014","999","0137",4,396,1.48000002e+00
"02","014","999","0138",3,2673,9.97000027e+00
"02","014","999","0145",1,13776,5.13600006e+01
"02","015","999","0131",2,5535,3.56199989e+01
"02","015","999","0132",5,167,1.07000005e+00
"02","015","999","0137",4,473,3.03999996e+00
"02","015","999","0138",3,1822,1.17299995e+01
"02","015","999","0145",1,7542,4.85400009e+01
"02","016","999","0131",2,17254,3.17299995e+01
"02","016","999","0132",5,934,1.72000003e+00
"02","016","999","0137",4,1870,3.44000006e+00
"02","016","999","0138",3,9267,1.70400009e+01
"02","016","999","0145",1,25058,4.60800018e+01
"02","017","999","0131",1,12162,3.97900009e+01
"02","017","999","0132",5,443,1.45000005e+00
"02","017","999","0137",4,1065,3.48000002e+00
"02","017","999","0138",3,6069,1.98500004e+01
"02","017","999","0145",2,10829,3.54300003e+01
"02","018","999","0131",2,2503,2.95100002e+01
"02","018","999","0132",4,510,6.01000023e+00
"02","018","999","0137",5,103,1.21000004e+00
"02","018","999","0138",3,1560,1.83899994e+01
"02","018","999","0145",1,3805,4.48600006e+01
