vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_parCodigo,ordenPartidos,votVotosPartido,votPorcenVotos,votCandidatos
"01","001","999","0131",2,31753,2.58799992e+01,0
"01","001","999","0132",4,6857,5.59000015e+00,0
"01","001","999","0133",6,932,7.59999990e-01,0
"01","001","999","0135",1,60214,4.90800018e+01,0
"01","001","999","0137",5,6616,5.38999987e+00,0
"01","001","999","0138",3,16315,1.33000002e+01,0
"01","002","999","0131",2,14333,1.35799999e+01,0
"01","002","999","0132",4,7648,7.25000000e+00,0
"01","002","999","0133",6,491,4.69999999e-01,0
"01","002","999","0135",1,70149,6.64899979e+01,0
"01","002","999","0137",5,3754,3.55999994e+00,0
"01","002","999","0138",3,9133,8.65999985e+00,0
"01","003","999","0131",2,31221,2.66499996e+01,0
"01","003","999","0132",5,7625,6.51000023e+00,0
"01","003","999","0133",6,1022,8.70000005e-01,0
"01","003","999","0135",1,50673,4.32599983e+01,0
"01","003","999","0137",4,7656,6.53999996e+00,0
"01","003","999","0138",3,18948,1.61700001e+01,0
"01","004","999","0131",2,41677,3.13099995e+01,0
"01","004","999","0132",5,6495,4.88000011e+00,0
"01","004","999","0133",6,1154,8.70000005e-01,0
"01","004","999","0135",1,53809,4.04199982e+01,0
"01","004","999","0137",4,7757,5.82999992e+00,0
"01","004","999","0138",3,22228,1.67000008e+01,0
"01","005","999","0131",2,30859,2.59599991e+01,0
"01","005","999","0132",4,9940,8.35999966e+00,0
"01","005","999","0133",6,918,7.69999981e-01,0
"01","005","999","0135",1,50906,4.28199997e+01,0
"01","005","999","0137",5,8136,6.84000015e+00,0
"01","005","999","0138",3,18123,1.52399998e+01,0
"01","006","999","0131",2,26869,2.15799999e+01,0
"01","006","999","0132",4,11903,9.56000042e+00,0
"01","006","999","0133",6,753,6.00000024e-01,0
"01","006","999","0135",1,59905,4.81100006e+01,0
"01","006","999","0137",5,7667,6.15999985e+00,0
"01","006","999","0138",3,17407,1.39799995e+01,0
"01","007","999","0131",2,33228,2.56399994e+01,0
"01","007","999","0132",4,9407,7.26000023e+00,0
"01","007","999","0133",6,1045,8.10000002e-01,0
"01","007","999","0135",1,55863,4.31100006e+01,0
"01","007","999","0137",5,7544,5.82000017e+00,0
"01","007","999","0138",3,22510,1.73700008e+01,0
"01","008","999","0131",2,36735,3.48600006e+01,0
"01","008","999","0132",5,3836,3.64000010e+00,0
"01","008","999","0133",6,1029,9.80000019e-01,0
"01","008","999","0135",1,37288,3.53899994e+01,0
"01","008","999","0137",4,4956,4.69999981e+00,0
"01","008","999","0138",3,21523,2.04300003e+01,0
"01","009","999","0131",2,30818,2.70100002e+01,0
"01","009","999","0132",4,6787,5.94999981e+00,0
"01","009","999","0133",6,1257,1.10000002e+00,0
"01","009","999","0135",1,45577,3.99399986e+01,0
"01","009","999","0137",5,6143,5.38000011e+00,0
"01","009","999","0138",3,23528,2.06200008e+01,0
"01","010","999","0131",2,27774,2.38999996e+01,0
"01","010","999","0132",4,8752,7.53000021e+00,0
"01","010","999","0133",6,1089,9.39999998e-01,0
"01","010","999","0135",1,50286,4.32799988e+01,0
"01","010","999","0137",5,7069,6.07999992e+00,0
"01","010","999","0138",3,21215,1.82600002e+01,0
"01","011","999","0131",2,29819,2.20900002e+01,0
"01","011","999","0132",4,11233,8.31999969e+00,0
"01","011","999","0133",6,998,7.40000010e-01,0
"01","011","999","0135",1,64129,4.75000000e+01,0
"01","011","999","0137",5,7400,5.48000002e+00,0
"01","011","999","0138",3,21428,1.58699999e+01,0
"01","012","999","0131",2,31980,2.17399998e+01,0
