vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_parCodigo,ordenPartidos,votVotosPartido,votPorcenVotos,votCandidatos
"02","061","999","0145",2,168311,2.42600002e+01,0
"02","062","999","0131",1,100240,3.65299988e+01,0
"02","062","999","0132",5,8880,3.24000001e+00,0
"02","062","999","0137",4,13594,4.94999981e+00,0
"02","062","999","0138",3,55504,2.02299995e+01,0
"02","062","999","0145",2,96159,3.50499992e+01,0
"02","063","999","0131",2,110572,2.94799995e+01,0
"02","063","999","0132",5,20795,5.53999996e+00,0
"02","063","999","0137",4,24940,6.65000010e+00,0
"02","063","999","0138",3,61633,1.64300003e+01,0
"02","063","999","0145",1,157099,4.18899994e+01,0
"02","064","999","0131",1,3223,4.72900009e+01,0
"02","064","999","0132",5,113,1.65999997e+00,0
"02","064","999","0137",4,118,1.73000002e+00,0
"02","064","999","0138",3,487,7.13999987e+00,0
"02","064","999","0145",2,2875,4.21800003e+01,0
"02","065","999","0131",2,4891,3.46199989e+01,0
"02","065","999","0132",4,737,5.21999979e+00,0
"02","065","999","0137",5,429,3.03999996e+00,0
"02","065","999","0138",3,1926,1.36300001e+01,0
"02","065","999","0145",1,6143,4.34900017e+01,0
"02","066","999","0131",1,4109,3.95600014e+01,0
"02","066","999","0132",5,181,1.74000001e+00,0
"02","066","999","0137",4,229,2.20000005e+00,0
"02","066","999","0138",3,1778,1.71200008e+01,0
"02","066","999","0145",2,4091,3.93800011e+01,0
"02","067","999","0131",2,9576,3.63100014e+01,0
"02","067","999","0132",4,527,2.00000000e+00,0
"02","067","999","0137",5,457,1.73000002e+00,0
"02","067","999","0138",3,3108,1.17799997e+01,0
"02","067","999","0145",1,12707,4.81800003e+01,0
"02","068","999","0131",2,3643,3.48699989e+01,0
"02","068","999","0132",5,117,1.12000000e+00,0
"02","068","999","0137",4,167,1.60000002e+00,0
"02","068","999","0138",3,1044,9.98999977e+00,0
"02","068","999","0145",1,5476,5.24199982e+01,0
"02","069","999","0131",2,6863,3.20699997e+01,0
"02","069","999","0132",5,465,2.17000008e+00,0
"02","069","999","0137",4,535,2.50000000e+00,0
"02","069","999","0138",3,3357,1.56899996e+01,0
"02","069","999","0145",1,10178,4.75699997e+01,0
"02","070","999","0131",1,151218,4.38100014e+01,0
"02","070","999","0132",5,12984,3.75999999e+00,0
"02","070","999","0137",4,17283,5.01000023e+00,0
"02","070","999","0138",3,62470,1.81000004e+01,0
"02","070","999","0145",2,101195,2.93199997e+01,0
"02","071","999","0131",2,16736,2.85100002e+01,0
"02","071","999","0132",4,2149,3.66000009e+00,0
"02","071","999","0137",5,1917,3.26999998e+00,0
"02","071","999","0138",3,11636,1.98199997e+01,0
"02","071","999","0145",1,26260,4.47400017e+01,0
"02","072","999","0131",3,2527,2.56599998e+01,0
"02","072","999","0132",5,161,1.63999999e+00,0
"02","072","999","0137",4,266,2.70000005e+00,0
"02","072","999","0138",2,2747,2.78999996e+01,0
"02","072","999","0145",1,4146,4.20999985e+01,0
"02","073","999","0131",2,1769,2.57800007e+01,0
"02","073","999","0132",5,118,1.72000003e+00,0
"02","073","999","0137",4,149,2.17000008e+00,0
"02","073","999","0138",3,949,1.38299999e+01,0
"02","073","999","0145",1,3876,5.64900017e+01,0
"02","074","999","0131",2,6541,4.15800018e+01,0
"02","074","999","0132",5,319,2.02999997e+00,0
"02","074","999","0137",4,340,2.16000009e+00,0
"02","074","999","0138",3,1892,1.20299997e+01,0
"02","074","999","0145",1,6641,4.22099991e+01,0
"02","075","999","0131",1,12972,4.47700005e+01,0
"02","075","999","0132",5,572,1.97000003e+00,0
"02","075","999","0137",4,1027,3.53999996e+00,0
"02","075","999","0138",2,7877,2.71900005e+01,0
"02","075","999","0145",3,6525,2.25200005e+01,0
"02","076","999","0131",2,13599,3.47999992e+01,0
"02","076","999","0132",5,717,1.83000004e+00,0
"02","076","999","0137",4,1341,3.43000007e+00,0
"02","076","999","0138",3,7378,1.88799992e+01,0
"02","076","999","0145",1,16047,4.10600014e+01,0
"02","077","999","0131",1,128886,4.82799988e+01,0
"02","077","999","0132",5,7030,2.63000011e+00,0
"02","077","999","0137",4,11480,4.30000019e+00,0
"02","077","999","0138",2,62832,2.35400009e+01,0
"02","077","999","0145",3,56744,2.12500000e+01,0
"02","078","999","0131",2,4108,3.24599991e+01,0
"02","078","999","0132",5,247,1.95000005e+00,0
"02","078","999","0137",4,266,2.09999990e+00,0
"02","078","999","0138",3,3652,2.88600006e+01,0
"02","078","999","0145",1,4382,3.46300011e+01,0
"02","079","999","0131",1,103963,4.63600006e+01,0
"02","079","999","0132",5,5986,2.67000008e+00,0
"02","079","999","0137",4,9103,4.05999994e+00,0
"02","079","999","0138",2,56841,2.53500004e+01,0
"02","079","999","0145",3,48360,2.15599995e+01,0
"02","080","999","0131",2,62109,3.10699997e+01,0
"02","080","999","0132",4,11142,5.57000017e+00,0
"02","080","999","0137",5,9663,4.82999992e+00,0
"02","080","999","0138",3,38664,1.93400002e+01,0
"02","080","999","0145",1,78335,3.91800003e+01,0
"02","081","999","0131",1,4397,4.25999985e+01,0
"02","081","999","0132",5,121,1.16999996e+00,0
"02","081","999","0137",4,128,1.24000001e+00,0
"02","081","999","0138",3,1354,1.31199999e+01,0
"02","081","999","0145",2,4321,4.18699989e+01,0
"02","082","999","0131",2,13189,2.42600002e+01,0
"02","082","999","0132",4,1963,3.60999990e+00,0
"02","082","999","0137",5,1496,2.75000000e+00,0
"02","082","999","0138",3,11041,2.03099995e+01,0
"02","082","999","0145",1,26667,4.90600014e+01,0
"02","083","999","0131",2,9118,3.11299992e+01,0
"02","083","999","0132",4,985,3.35999990e+00,0
"02","083","999","0137",5,665,2.26999998e+00,0
"02","083","999","0138",3,4232,1.44499998e+01,0
"02","083","999","0145",1,14287,4.87799988e+01,0
"02","084","999","0131",2,19063,2.97800007e+01,0
"02","084","999","0132",5,1312,2.04999995e+00,0
"02","084","999","0137",4,2586,4.03999996e+00,0
"02","084","999","0138",3,15523,2.42500000e+01,0
"02","084","999","0145",1,25526,3.98800011e+01,0
"02","085","999","0131",1,9124,3.83699989e+01,0
"02","085","999","0132",5,439,1.85000002e+00,0
"02","085","999","0137",4,501,2.10999990e+00,0
"02","085","999","0138",3,5020,2.11100006e+01,0
"02","085","999","0145",2,8694,3.65600014e+01,0
"02","086","999","0131",3,758,2.07500000e+01,0
"02","086","999","0132",4,44,1.20000005e+00,0
"02","086","999","0137",5,27,7.40000010e-01,0
"02","086","999","0138",2,782,2.14099998e+01,0
"02","086","999","0145",1,2042,5.59000015e+01,0
"02","087","999","0131",2,17748,2.86100006e+01,0
"02","087","999","0132",5,1550,2.50000000e+00,0
"02","087","999","0137",4,1883,3.03999996e+00,0
"02","087","999","0138",3,11123,1.79300003e+01,0
"02","087","999","0145",1,29733,4.79300003e+01,0
"02","088","999","0131",1,946,4.20099983e+01,0
"02","088","999","0132",4,38,1.69000006e+00,0
"02","088","999","0137",5,18,8.00000012e-01,0
"02","088","999","0138",3,585,2.59799995e+01,0
"02","088","999","0145",2,665,2.95300007e+01,0
"02","089","999","0131",1,59508,3.84700012e+01,0
"02","089","999","0132",5,3324,2.15000010e+00,0
"02","089","999","0137",4,5462,3.52999997e+00,0
"02","089","999","0138",3,27264,1.76299992e+01,0
"02","089","999","0145",2,59127,3.82200012e+01,0
"02","090","999","0131",2,3996,2.68199997e+01,0
"02","090","999","0132",5,445,2.99000001e+00,0
"02","090","999","0137",4,449,3.00999999e+00,0
"02","090","999","0138",3,2664,1.78799992e+01,0
"02","090","999","0145",1,7346,4.92999992e+01,0
"02","091","999","0131",2,2435,2.40200005e+01,0
"02","091","999","0132",4,334,3.28999996e+00,0
"02","091","999","0137",5,238,2.34999990e+00,0
"02","091","999","0138",3,1056,1.04200001e+01,0
"02","091","999","0145",1,6074,5.99199982e+01,0
"02","092","999","0131",1,122426,3.89799995e+01,0
"02","092","999","0132",5,8768,2.78999996e+00,0
"02","092","999","0137",4,14608,4.65000010e+00,0
"02","092","999","0138",3,58497,1.86299992e+01,0
"02","092","999","0145",2,109762,3.49500008e+01,0
"02","093","999","0131",1,7222,3.80099983e+01,0
"02","093","999","0132",4,632,3.32999992e+00,0
"02","093","999","0137",5,460,2.42000008e+00,0
"02","093","999","0138",3,3564,1.87600002e+01,0
"02","093","999","0145",2,7123,3.74900017e+01,0
"02","094","999","0131",2,3734,4.15099983e+01,0
"02","094","999","0132",5,184,2.04999995e+00,0
