vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_forCodigo,ordenPartidos,votVotosFormula,votPorcenVotosFormula
"01","001","999","0131",2,33224,2.63999996e+01
"01","001","999","0132",5,5032,4.00000000e+00
"01","001","999","0133",6,944,7.50000000e-01
"01","001","999","0135",1,64042,5.09000015e+01
"01","001","999","0137",4,5362,4.26000023e+00
"01","001","999","0138",3,17227,1.36899996e+01
"01","002","999","0131",2,15324,1.42799997e+01
"01","002","999","0132",4,4862,4.53000021e+00
"01","002","999","0133",6,470,4.39999998e-01
"01","002","999","0135",1,74463,6.93899994e+01
"01","002","999","0137",5,2843,2.65000010e+00
"01","002","999","0138",3,9345,8.71000004e+00
"01","003","999","0131",2,32631,2.70900002e+01
"01","003","999","0132",5,5862,4.86999989e+00
"01","003","999","0133",6,1023,8.50000024e-01
"01","003","999","0135",1,54513,4.52500000e+01
"01","003","999","0137",4,6168,5.11999989e+00
"01","003","999","0138",3,20276,1.68299999e+01
"01","004","999","0131",2,43089,3.17099991e+01
"01","004","999","0132",5,5110,3.75999999e+00
"01","004","999","0133",6,1146,8.39999974e-01
"01","004","999","0135",1,56567,4.16300011e+01
"01","004","999","0137",4,6491,4.78000021e+00
"01","004","999","0138",3,23489,1.72900009e+01
"01","005","999","0131",2,32314,2.64500008e+01
"01","005","999","0132",4,7331,6.00000000e+00
"01","005","999","0133",6,900,7.40000010e-01
"01","005","999","0135",1,55601,4.55099983e+01
"01","005","999","0137",5,6654,5.44999981e+00
"01","005","999","0138",3,19383,1.58599997e+01
"01","006","999","0131",2,28479,2.22099991e+01
"01","006","999","0132",4,8169,6.36999989e+00
"01","006","999","0133",6,754,5.89999974e-01
"01","006","999","0135",1,66087,5.15400009e+01
"01","006","999","0137",5,6071,4.73000002e+00
"01","006","999","0138",3,18665,1.45600004e+01
"01","007","999","0131",2,34708,2.60499992e+01
"01","007","999","0132",4,6772,5.07999992e+00
"01","007","999","0133",6,1083,8.10000002e-01
"01","007","999","0135",1,60598,4.54799995e+01
"01","007","999","0137",5,6084,4.57000017e+00
"01","007","999","0138",3,24008,1.80200005e+01
"01","008","999","0131",2,37714,3.51699982e+01
"01","008","999","0132",5,3144,2.93000007e+00
"01","008","999","0133",6,1041,9.70000029e-01
"01","008","999","0135",1,38600,3.59900017e+01
"01","008","999","0137",4,4176,3.89000010e+00
"01","008","999","0138",3,22568,2.10400009e+01
"01","009","999","0131",2,31898,2.74200001e+01
"01","009","999","0132",4,5036,4.32999992e+00
"01","009","999","0133",6,1164,1.00000000e+00
"01","009","999","0135",1,48582,4.17599983e+01
"01","009","999","0137",5,4878,4.19000006e+00
"01","009","999","0138",3,24774,2.12999992e+01
"01","010","999","0131",2,28989,2.43199997e+01
"01","010","999","0132",4,6340,5.32000017e+00
"01","010","999","0133",6,1077,8.99999976e-01
"01","010","999","0135",1,54657,4.58499985e+01
"01","010","999","0137",5,5521,4.63000011e+00
"01","010","999","0138",3,22613,1.89699993e+01
"01","011","999","0131",2,31277,2.26399994e+01
"01","011","999","0132",4,7717,5.59000015e+00
"01","011","999","0133",6,994,7.20000029e-01
"01","011","999","0135",1,69511,5.03300018e+01
"01","011","999","0137",5,5736,4.15000010e+00
"01","011","999","0138",3,22887,1.65699997e+01
"01","012","999","0131",2,33512,2.22299995e+01
"01","012","999","0132",4,8461,5.61000013e+00
"01","012","999","0133",6,967,6.39999986e-01
"01","012","999","0135",1,79573,5.27999992e+01
"01","012","999","0137",5,6340,4.21000004e+00
"01","012","999","0138",3,21867,1.45100002e+01
"01","013","999","0131",2,27379,1.62500000e+01
"01","013","999","0132",4,9382,5.57000017e+00
"01","013","999","0133",6,851,5.09999990e-01
"01","013","999","0135",1,108146,6.41900024e+01
"01","013","999","0137",5,5627,3.33999991e+00
"01","013","999","0138",3,17104,1.01499996e+01
"01","014","999","0131",2,27749,1.74400005e+01
"01","014","999","0132",4,8515,5.34999990e+00
"01","014","999","0133",6,722,4.49999988e-01
"01","014","999","0135",1,101461,6.37700005e+01
"01","014","999","0137",5,5201,3.26999998e+00
"01","014","999","0138",3,15463,9.72000027e+00
"01","015","999","0131",2,33868,2.65200005e+01
"01","015","999","0132",4,7990,6.26000023e+00
"01","015","999","0133",6,883,6.89999998e-01
"01","015","999","0135",1,58425,4.57500000e+01
"01","015","999","0137",5,6792,5.32000017e+00
"01","015","999","0138",3,19746,1.54600000e+01
"01","999","999","0131",2,472155,2.40900002e+01
"01","999","999","0132",4,99723,5.09000015e+00
"01","999","999","0133",6,14019,7.20000029e-01
"01","999","999","0135",1,990826,5.05499992e+01
"01","999","999","0137",5,83944,4.28000021e+00
