vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_parCodigo,ordenPartidos,votVotosPartido,votPorcenVotos,votCandidatos
"07","008","999","0152",4,9,2.89999992e-01,0
"07","008","999","0530",3,286,9.15999985e+00,0
"07","008","999","0531",1,1436,4.60099983e+01,0
"07","009","999","0131",2,214,2.35900002e+01,0
"07","009","999","0152",4,1,1.09999999e-01,0
"07","009","999","0530",3,79,8.71000004e+00,0
"07","009","999","0531",1,613,6.75899963e+01,0
"07","010","999","0131",1,247,5.42900009e+01,0
"07","010","999","0152",4,1,2.19999999e-01,0
"07","010","999","0530",3,9,1.98000002e+00,0
"07","010","999","0531",2,198,4.35200005e+01,0
"07","011","999","0131",1,509,5.08499985e+01,0
"07","011","999","0152",4,11,1.10000002e+00,0
"07","011","999","0530",3,40,4.00000000e+00,0
"07","011","999","0531",2,441,4.40600014e+01,0
"07","012","999","0131",2,2406,4.09399986e+01,0
"07","012","999","0152",4,93,1.58000004e+00,0
"07","012","999","0530",3,744,1.26599998e+01,0
"07","012","999","0531",1,2634,4.48199997e+01,0
"07","013","999","0131",1,1776,5.79799995e+01,0
"07","013","999","0152",4,23,7.50000000e-01,0
"07","013","999","0530",3,289,9.43999958e+00,0
"07","013","999","0531",2,975,3.18299999e+01,0
"07","014","999","0131",1,2530,5.51100006e+01,0
"07","014","999","0152",4,155,3.38000011e+00,0
"07","014","999","0530",3,862,1.87800007e+01,0
"07","014","999","0531",2,1044,2.27399998e+01,0
"07","015","999","0131",1,40949,5.22299995e+01,0
"07","015","999","0152",4,4009,5.11000013e+00,0
"07","015","999","0530",2,20645,2.63299999e+01,0
"07","015","999","0531",3,12792,1.63199997e+01,0
"07","999","999","0131",1,98598,4.28100014e+01,2
"07","999","999","0152",4,8048,3.49000001e+00,0
"07","999","999","0530",3,44321,1.92500000e+01,0
"07","999","999","0531",2,79329,3.44500008e+01,1
"11","001","999","0069",4,230,3.45000005e+00,0
"11","001","999","0131",1,3137,4.70900002e+01,0
