vot_proCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_parCodigo,ordenPartidos,votVotosPartido,votPorcenVotos,votCandidatos
"02","001","999","0131",2,2712,2.94400005e+01,0
"02","001","999","0132",4,248,2.69000006e+00,0
"02","001","999","0137",5,105,1.13999999e+00,0
"02","001","999","0138",3,951,1.03199997e+01,0
"02","001","999","0145",1,5197,5.64099998e+01,0
"02","003","999","0131",1,124829,4.18300018e+01,0
"02","003","999","0132",5,9309,3.11999989e+00,0
"02","003","999","0137",4,15656,5.25000000e+00,0
"02","003","999","0138",3,60711,2.03400002e+01,0
"02","003","999","0145",2,87908,2.94599991e+01,0
"02","004","999","0131",1,81149,3.85999985e+01,0
"02","004","999","0132",5,7448,3.53999996e+00,0
"02","004","999","0137",4,10712,5.09999990e+00,0
"02","004","999","0138",3,36047,1.71499996e+01,0
"02","004","999","0145",2,74868,3.56100006e+01,0
"02","007","999","0131",2,39617,2.45799999e+01,0
"02","007","999","0132",4,12889,8.00000000e+00,0
"02","007","999","0137",5,9331,5.78999996e+00,0
"02","007","999","0138",3,23582,1.46300001e+01,0
"02","007","999","0145",1,75776,4.70099983e+01,0
"02","009","999","0131",2,7446,3.84500008e+01,0
"02","009","999","0132",5,231,1.19000006e+00,0
"02","009","999","0137",4,645,3.32999992e+00,0
"02","009","999","0138",3,3496,1.80499992e+01,0
"02","009","999","0145",1,7547,3.89700012e+01,0
"02","010","999","0131",2,6440,3.52099991e+01,0
"02","010","999","0132",4,599,3.26999998e+00,0
"02","010","999","0137",5,265,1.45000005e+00,0
"02","010","999","0138",3,2801,1.53100004e+01,0
"02","010","999","0145",1,8186,4.47500000e+01,0
"02","011","999","0131",1,76951,4.34500008e+01,0
"02","011","999","0132",5,4678,2.64000010e+00,0
"02","011","999","0137",4,9213,5.19999981e+00,0
"02","011","999","0138",3,36663,2.07000008e+01,0
"02","011","999","0145",2,49592,2.80000000e+01,0
"02","012","999","0131",2,18704,3.46500015e+01,0
"02","012","999","0132",5,1617,3.00000000e+00,0
"02","012","999","0137",4,2996,5.55000019e+00,0
"02","012","999","0138",3,11280,2.08999996e+01,0
"02","012","999","0145",1,19382,3.59099998e+01,0
"02","015","999","0131",2,5722,3.80099983e+01,0
"02","015","999","0132",5,212,1.40999997e+00,0
"02","015","999","0137",4,480,3.19000006e+00,0
"02","015","999","0138",3,1732,1.15000000e+01,0
"02","015","999","0145",1,6909,4.58899994e+01,0
"02","017","999","0131",1,12322,4.10000000e+01,0
"02","017","999","0132",5,506,1.67999995e+00,0
"02","017","999","0137",4,1152,3.82999992e+00,0
"02","017","999","0138",3,6015,2.00100002e+01,0
"02","017","999","0145",2,10060,3.34700012e+01,0
"02","018","999","0131",2,2546,3.07199993e+01,0
"02","018","999","0132",4,1234,1.48900003e+01,0
"02","018","999","0137",5,115,1.38999999e+00,0
"02","018","999","0138",3,1305,1.57500000e+01,0
"02","018","999","0145",1,3087,3.72500000e+01,0
"02","021","999","0131",1,3827,4.38199997e+01,0
"02","021","999","0132",5,68,7.79999971e-01,0
"02","021","999","0137",4,97,1.11000001e+00,0
"02","021","999","0138",3,986,1.12900000e+01,0
"02","021","999","0145",2,3755,4.30000000e+01,0
"02","022","999","0131",2,6374,3.76699982e+01,0
"02","022","999","0132",4,309,1.83000004e+00,0
"02","022","999","0137",5,302,1.77999997e+00,0
"02","022","999","0138",3,2686,1.58699999e+01,0
"02","022","999","0145",1,7249,4.28400002e+01,0
"02","024","999","0131",1,5760,4.11399994e+01,0
"02","024","999","0132",4,724,5.17000008e+00,0
"02","024","999","0137",5,426,3.03999996e+00,0
"02","024","999","0138",3,1731,1.23599997e+01,0
"02","024","999","0145",2,5359,3.82799988e+01,0
"02","025","999","0131",2,2862,3.09799995e+01,0
"02","025","999","0132",4,249,2.70000005e+00,0
"02","025","999","0137",5,141,1.52999997e+00,0
"02","025","999","0138",3,842,9.10999966e+00,0
"02","025","999","0145",1,5144,5.56800003e+01,0
"02","026","999","0131",2,4201,3.32299995e+01,0
"02","026","999","0132",4,403,3.19000006e+00,0
"02","026","999","0137",5,318,2.51999998e+00,0
"02","026","999","0138",3,1508,1.19300003e+01,0
"02","026","999","0145",1,6213,4.91399994e+01,0
"02","027","999","0131",2,6303,1.95900002e+01,0
"02","027","999","0132",4,1310,4.07000017e+00,0
"02","027","999","0137",5,995,3.08999991e+00,0
"02","027","999","0138",3,5515,1.71399994e+01,0
"02","027","999","0145",1,18049,5.60999985e+01,0
"02","028","999","0131",2,6458,2.91700001e+01,0
"02","028","999","0132",5,506,2.28999996e+00,0
"02","028","999","0137",4,547,2.47000003e+00,0
"02","028","999","0138",3,3177,1.43500004e+01,0
"02","028","999","0145",1,11453,5.17299995e+01,0
"02","032","999","0131",2,4414,4.05999985e+01,0
"02","032","999","0132",5,84,7.69999981e-01,0
"02","032","999","0137",4,87,8.00000012e-01,0
"02","032","999","0138",3,852,7.84000015e+00,0
"02","032","999","0145",1,5434,4.99900017e+01,0
"02","034","999","0131",1,15153,4.27299995e+01,0
"02","034","999","0132",5,1090,3.06999993e+00,0
"02","034","999","0137",4,2485,7.01000023e+00,0
"02","034","999","0138",3,6725,1.89599991e+01,0
"02","034","999","0145",2,10011,2.82299995e+01,0
"02","036","999","0131",1,65091,4.15200005e+01,0
"02","036","999","0132",5,3740,2.39000010e+00,0
"02","036","999","0137",4,7309,4.65999985e+00,0
"02","036","999","0138",3,30129,1.92199993e+01,0
"02","036","999","0145",2,50501,3.22099991e+01,0
"02","037","999","0131",2,5876,3.46500015e+01,0
"02","037","999","0132",4,478,2.81999993e+00,0
"02","037","999","0137",5,391,2.30999994e+00,0
"02","037","999","0138",3,3652,2.15400009e+01,0
"02","037","999","0145",1,6559,3.86800003e+01,0
"02","038","999","0131",1,91450,4.74199982e+01,0
"02","038","999","0132",5,4170,2.16000009e+00,0
"02","038","999","0137",4,8816,4.57000017e+00,0
"02","038","999","0138",2,44569,2.31100006e+01,0
"02","038","999","0145",3,43826,2.27299995e+01,0
"02","044","999","0131",2,2955,4.31599998e+01,0
"02","044","999","0132",5,64,9.30000007e-01,0
"02","044","999","0137",4,69,1.00999999e+00,0
"02","044","999","0138",3,448,6.53999996e+00,0
"02","044","999","0145",1,3310,4.83499985e+01,0
"02","056","999","0131",1,3415,4.90900002e+01,0
"02","056","999","0132",4,137,1.97000003e+00,0
"02","056","999","0137",5,111,1.60000002e+00,0
"02","056","999","0138",3,977,1.40400000e+01,0
"02","056","999","0145",2,2317,3.32999992e+01,0
"02","057","999","0131",2,3017,4.47999992e+01,0
"02","057","999","0132",4,112,1.65999997e+00,0
"02","057","999","0137",5,73,1.08000004e+00,0
"02","057","999","0138",3,515,7.65000010e+00,0
"02","057","999","0145",1,3018,4.48100014e+01,0
"02","059","999","0131",1,4777,4.08100014e+01,0
"02","059","999","0132",4,328,2.79999995e+00,0
"02","059","999","0137",5,268,2.28999996e+00,0
"02","059","999","0138",3,1812,1.54799995e+01,0
"02","059","999","0145",2,4521,3.86199989e+01,0
"02","061","999","0131",1,331888,4.73300018e+01,0
"02","061","999","0132",5,18121,2.57999992e+00,0
"02","061","999","0137",4,32616,4.65000010e+00,0
"02","061","999","0138",3,136665,1.94899998e+01,0
"02","061","999","0145",2,181894,2.59400005e+01,0
"02","062","999","0131",2,94044,3.43699989e+01,0
"02","062","999","0132",5,8545,3.11999989e+00,0
"02","062","999","0137",4,13986,5.11000013e+00,0
"02","062","999","0138",3,53545,1.95699997e+01,0
"02","062","999","0145",1,103539,3.78400002e+01,0
"02","063","999","0131",2,113229,2.88799992e+01,0
"02","063","999","0132",5,20047,5.11000013e+00,0
"02","063","999","0137",4,23257,5.92999983e+00,0
"02","063","999","0138",3,60811,1.55100002e+01,0
"02","063","999","0145",1,165463,4.22000008e+01,0
"02","063","999","0301",6,9268,2.35999990e+00,0
"02","064","999","0131",1,3280,4.74900017e+01,0
"02","064","999","0132",5,103,1.49000001e+00,0
"02","064","999","0137",4,109,1.58000004e+00,0
"02","064","999","0138",3,439,6.36000013e+00,0
"02","064","999","0145",2,2976,4.30900002e+01,0
"02","069","999","0131",2,7047,3.24799995e+01,0
"02","069","999","0132",5,416,1.91999996e+00,0
"02","069","999","0137",4,527,2.43000007e+00,0
"02","069","999","0138",3,3124,1.43999996e+01,0
"02","069","999","0145",1,10582,4.87700005e+01,0
"02","070","999","0131",1,154533,4.36899986e+01,0
