pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipacion,preCandidatos,preParticipEscrutado,prePorcParticipEscrutado,prePreferencias,prePorcPreferencias,OT_Codigo,OT_Votos,OT_PVotos
"20","001","003",144,141,9.79199982e+01,30983,9.88199997e+01,23610,7.53000031e+01,7373,2.35200005e+01,352,1.12000000e+00,18,5.99999987e-02,42580,31353,7.36299973e+01,,1,,7.52300034e+01,,,"9997",0,0.00000000e+00
"20","001","004",57,53,9.29800034e+01,11500,9.86999969e+01,9645,8.27799988e+01,1855,1.59200001e+01,145,1.24000001e+00,6,5.99999987e-02,16841,11651,6.91800003e+01,,1,,7.45400009e+01,,,"9997",0,0.00000000e+00
"20","001","005",62,57,9.19400024e+01,12902,9.82500000e+01,9596,7.30699997e+01,3306,2.51800003e+01,209,1.59000003e+00,21,1.59999996e-01,18218,13132,7.20800018e+01,,1,,7.85699997e+01,,,"9997",0,0.00000000e+00
"20","001","006",40,39,9.75000000e+01,7747,9.55400009e+01,6672,8.22799988e+01,1075,1.32600002e+01,283,3.49000001e+00,79,9.70000029e-01,11498,8109,7.05299988e+01,,1,,7.24300003e+01,,,"9997",0,0.00000000e+00
"20","002","011",11,11,1.00000000e+02,2456,9.85899963e+01,2272,9.12099991e+01,184,7.38999987e+00,35,1.40999997e+00,0,0.00000000e+00,3167,2491,7.86500015e+01,,1,,7.86500015e+01,,,"9997",0,0.00000000e+00
"20","002","012",19,18,9.47399979e+01,3728,9.88099976e+01,3359,8.90299988e+01,369,9.77999973e+00,39,1.02999997e+00,6,1.59999996e-01,5447,3773,6.92699966e+01,,1,,7.30899963e+01,,,"9997",0,0.00000000e+00
"20","003","013",30,30,1.00000000e+02,6039,9.84800034e+01,5442,8.87500000e+01,597,9.73999977e+00,92,1.50000000e+00,1,9.99999978e-03,8614,6132,7.11900024e+01,,1,,7.11900024e+01,,,"9997",0,0.00000000e+00
"20","004","014",17,15,8.82399979e+01,2664,9.91399994e+01,2156,8.02399979e+01,508,1.89099998e+01,20,7.40000010e-01,3,1.09999999e-01,3973,2687,6.76299973e+01,,1,,7.37399979e+01,,,"9997",0,0.00000000e+00
"20","005","001",23,23,1.00000000e+02,4510,9.95100021e+01,3919,8.64700012e+01,591,1.30400000e+01,22,4.90000010e-01,0,0.00000000e+00,6361,4532,7.12500000e+01,,1,,7.12500000e+01,,,"9997",0,0.00000000e+00
"20","005","002",15,15,1.00000000e+02,3105,9.92300034e+01,2747,8.77900009e+01,358,1.14399996e+01,20,6.39999986e-01,4,1.29999995e-01,4100,3129,7.63199997e+01,,1,,7.63199997e+01,,,"9997",0,0.00000000e+00
"20","006","010",58,58,1.00000000e+02,11973,9.87799988e+01,9372,7.73199997e+01,2601,2.14599991e+01,138,1.13999999e+00,10,7.99999982e-02,17267,12121,7.01999969e+01,,1,,7.01999969e+01,,,"9997",0,0.00000000e+00
"20","007","007",278,270,9.71200027e+01,62281,9.88899994e+01,51806,8.22500000e+01,10475,1.66299992e+01,645,1.01999998e+00,57,1.00000001e-01,83107,62983,7.57900009e+01,,1,,7.78099976e+01,,,"9997",0,0.00000000e+00
"20","007","008",32,31,9.68799973e+01,6667,9.88899994e+01,5263,7.80599976e+01,1404,2.08199997e+01,74,1.10000002e+00,1,1.99999996e-02,9216,6742,7.31600037e+01,,1,,7.56399994e+01,,,"9997",0,0.00000000e+00
"20","007","009",24,22,9.16699982e+01,4900,9.86699982e+01,4236,8.53000031e+01,664,1.33699999e+01,65,1.30999994e+00,1,1.99999996e-02,7130,4966,6.96500015e+01,,1,,7.62399979e+01,,,"9997",0,0.00000000e+00
