pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipacion,preCandidatos,preParticipEscrutado,prePorcParticipEscrutado,OT_Codigo,OT_Votos,OT_PVotos
"01","001","999",520,515,9.90400009e+01,126867,9.93600006e+01,123675,9.68600006e+01,3192,2.50000000e+00,766,6.00000024e-01,54,3.99999991e-02,179292,127687,7.12200012e+01,,0,,7.19000015e+01,"0186",3707,3.00000000e+00
"01","002","999",421,420,9.97600021e+01,108063,9.95800018e+01,106462,9.81100006e+01,1601,1.48000002e+00,421,3.89999986e-01,32,1.99999996e-02,145810,108516,7.44199982e+01,,0,,7.45999985e+01,"0186",2484,2.32999992e+00
"01","003","999",474,474,1.00000000e+02,121622,9.93000031e+01,118335,9.66200027e+01,3287,2.68000007e+00,811,6.60000026e-01,42,3.99999991e-02,163967,122475,7.46900024e+01,,0,,7.46900024e+01,"0186",4244,3.58999991e+00
"01","004","999",518,512,9.88399963e+01,137519,9.92600021e+01,133395,9.62799988e+01,4124,2.98000002e+00,980,7.09999979e-01,51,2.99999993e-02,178789,138550,7.74899979e+01,,0,,7.84000015e+01,"0186",3495,2.61999989e+00
"01","005","999",458,454,9.91299973e+01,123588,9.93899994e+01,120979,9.72900009e+01,2609,2.09999990e+00,738,5.89999974e-01,23,1.99999996e-02,158836,124349,7.82900009e+01,,0,,7.89800034e+01,"0186",5471,4.51999998e+00
"01","006","999",463,463,1.00000000e+02,129249,9.94499969e+01,126929,9.76600037e+01,2320,1.78999996e+00,694,5.29999971e-01,22,1.99999996e-02,161249,129965,8.05999985e+01,,0,,8.05999985e+01,"0186",5832,4.59000015e+00
"01","007","999",502,495,9.86100006e+01,134339,9.92900009e+01,131263,9.70100021e+01,3076,2.26999998e+00,859,6.29999995e-01,104,9.00000036e-02,174159,135302,7.76900024e+01,,0,,7.87900009e+01,"0186",4817,3.67000008e+00
"01","008","999",395,395,1.00000000e+02,108393,9.93099976e+01,104801,9.60199966e+01,3592,3.28999996e+00,718,6.60000026e-01,31,2.99999993e-02,137805,109142,7.91999969e+01,,0,,7.91999969e+01,"0186",1856,1.76999998e+00
"01","009","999",425,421,9.90599976e+01,117623,9.93700027e+01,114383,9.66299973e+01,3240,2.74000001e+00,708,6.00000024e-01,40,2.99999993e-02,147154,118371,8.04400024e+01,,0,,8.12099991e+01,"0186",3094,2.70000005e+00
"01","010","999",432,432,1.00000000e+02,120343,9.93499985e+01,117614,9.70999985e+01,2729,2.25000000e+00,774,6.39999986e-01,13,9.99999978e-03,149400,121130,8.10800018e+01,,0,,8.10800018e+01,"0186",4512,3.83999991e+00
"01","011","999",499,499,1.00000000e+02,139469,9.93700027e+01,136559,9.73000031e+01,2910,2.06999993e+00,840,6.00000024e-01,43,2.99999993e-02,172852,140352,8.11999969e+01,,0,,8.11999969e+01,"0186",5317,3.89000010e+00
"01","012","999",541,540,9.98199997e+01,151843,9.94599991e+01,148729,9.74199982e+01,3114,2.03999996e+00,802,5.29999971e-01,28,9.99999978e-03,187284,152673,8.15199966e+01,,0,,8.16699982e+01,"0186",5440,3.66000009e+00
"01","013","999",631,627,9.93700027e+01,169616,9.95599976e+01,167030,9.80400009e+01,2586,1.51999998e+00,726,4.30000007e-01,31,9.99999978e-03,218521,170373,7.79700012e+01,,0,,7.84599991e+01,"0186",5026,3.00999999e+00
"01","014","999",606,602,9.93399963e+01,160367,9.95199966e+01,157786,9.79199982e+01,2581,1.60000002e+00,729,4.49999988e-01,37,2.99999993e-02,210928,161133,7.63899994e+01,,0,,7.69000015e+01,"0186",4517,2.85999990e+00
"01","015","999",480,477,9.93799973e+01,129036,9.92799988e+01,126241,9.71200027e+01,2795,2.15000010e+00,921,7.09999979e-01,21,1.99999996e-02,166636,129978,7.80000000e+01,,0,,7.84899979e+01,"0186",6309,5.00000000e+00
"01","999","999",7365,7326,9.94700012e+01,1977937,9.93899994e+01,1934181,9.71999969e+01,43756,2.20000005e+00,11487,5.79999983e-01,572,1.99999996e-02,2552682,1989996,7.79599991e+01,,12,,7.83700027e+01,"0186",66121,3.42000008e+00
"02","001","999",44,41,9.31800003e+01,10492,9.98899994e+01,9201,8.75999985e+01,1291,1.22900000e+01,12,1.09999999e-01,0,0.00000000e+00,14171,10504,7.41200027e+01,,0,,8.00699997e+01,"9997",0,0.00000000e+00
"02","002","999",29,28,9.65500031e+01,7594,9.99499969e+01,6678,8.78899994e+01,916,1.20600004e+01,3,3.99999991e-02,1,9.99999978e-03,9147,7598,8.30699997e+01,,0,,8.63700027e+01,"9997",0,0.00000000e+00
"02","003","999",1191,1151,9.66399994e+01,329360,9.91800003e+01,305341,9.19499969e+01,24019,7.23000002e+00,2600,7.79999971e-01,124,3.99999991e-02,415029,332084,8.00100021e+01,,0,,8.28000031e+01,"9997",0,0.00000000e+00
"02","004","999",806,785,9.73899994e+01,220947,9.95299988e+01,209719,9.44800034e+01,11228,5.05999994e+00,951,4.30000007e-01,84,2.99999993e-02,278929,221982,7.95800018e+01,,0,,8.17399979e+01,"9997",0,0.00000000e+00
"02","005","999",58,52,8.96600037e+01,12961,9.96600037e+01,10698,8.22600021e+01,2263,1.73999996e+01,34,2.59999990e-01,10,7.99999982e-02,17022,13005,7.64000015e+01,,0,,8.33899994e+01,"9997",0,0.00000000e+00
"02","006","999",167,163,9.75999985e+01,42215,9.93000031e+01,36914,8.68300018e+01,5301,1.24700003e+01,290,6.80000007e-01,8,1.99999996e-02,55060,42513,7.72099991e+01,,0,,7.92300034e+01,"9997",0,0.00000000e+00
"02","007","999",688,659,9.57799988e+01,179731,9.91100006e+01,161785,8.92099991e+01,17946,9.89999962e+00,1548,8.50000024e-01,68,3.99999991e-02,237292,181347,7.64199982e+01,,0,,7.98399963e+01,"9997",0,0.00000000e+00
"02","008","999",111,104,9.36900024e+01,28930,9.96800003e+01,25590,8.81699982e+01,3340,1.15100002e+01,88,3.00000012e-01,4,1.99999996e-02,37704,29022,7.69700012e+01,,0,,8.23099976e+01,"9997",0,0.00000000e+00
"02","009","999",84,81,9.64300003e+01,21769,9.95800018e+01,19391,8.86999969e+01,2378,1.08800001e+01,87,4.00000006e-01,5,1.99999996e-02,27119,21861,8.06100006e+01,,0,,8.38499985e+01,"9997",0,0.00000000e+00
"02","010","999",71,71,1.00000000e+02,20231,9.98199997e+01,18233,8.99599991e+01,1998,9.85999966e+00,34,1.70000002e-01,2,9.99999978e-03,23840,20267,8.50100021e+01,,0,,8.50100021e+01,"9997",0,0.00000000e+00
