pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipacion,preCandidatos,preParticipEscrutado,prePorcParticipEscrutado,OT_Codigo,OT_Votos,OT_PVotos
"02","002","999",30,29,9.66699982e+01,7583,9.99499969e+01,6690,8.81800003e+01,893,1.17700005e+01,3,3.99999991e-02,1,9.99999978e-03,9209,7587,8.23899994e+01,,0,,8.56399994e+01,"9997",0,0.00000000e+00
"02","005","999",59,52,8.81399994e+01,12931,9.96500015e+01,10666,8.21999969e+01,2265,1.74599991e+01,35,2.70000011e-01,10,7.00000003e-02,17091,12976,7.59199982e+01,,0,,8.32099991e+01,"9997",0,0.00000000e+00
"02","006","999",168,164,9.76200027e+01,42181,9.92399979e+01,35729,8.40599976e+01,6452,1.51800003e+01,312,7.30000019e-01,11,2.99999993e-02,55377,42504,7.67500000e+01,,0,,7.87399979e+01,"9997",0,0.00000000e+00
"02","008","999",112,105,9.37500000e+01,29022,9.96600037e+01,25534,8.76800003e+01,3488,1.19799995e+01,95,3.30000013e-01,4,9.99999978e-03,38013,29121,7.66100006e+01,,0,,8.18799973e+01,"9997",0,0.00000000e+00
"02","013","999",93,91,9.78499985e+01,24139,9.93499985e+01,21068,8.67099991e+01,3071,1.26400003e+01,132,5.40000021e-01,25,1.09999999e-01,29812,24296,8.15000000e+01,,0,,8.25000000e+01,"9997",0,0.00000000e+00
"02","014","999",107,106,9.90699997e+01,28874,9.91800003e+01,26099,8.96500015e+01,2775,9.52999973e+00,231,7.90000021e-01,8,2.99999993e-02,35200,29113,8.27099991e+01,,0,,8.35400009e+01,"9997",0,0.00000000e+00
"02","016","999",217,207,9.53899994e+01,59509,9.94400024e+01,53221,8.89300003e+01,6288,1.05100002e+01,290,4.79999989e-01,45,7.99999982e-02,75340,59844,7.94300003e+01,,0,,8.33000031e+01,"9997",0,0.00000000e+00
"02","019","999",59,58,9.83099976e+01,15035,9.98600006e+01,13005,8.63799973e+01,2030,1.34799995e+01,14,9.00000036e-02,7,5.00000007e-02,18732,15056,8.03799973e+01,,0,,8.19000015e+01,"9997",0,0.00000000e+00
"02","020","999",31,31,1.00000000e+02,8767,9.97300034e+01,7955,9.04899979e+01,812,9.23999977e+00,21,2.39999995e-01,3,2.99999993e-02,9841,8791,8.93300018e+01,,0,,8.93300018e+01,"9997",0,0.00000000e+00
"02","023","999",24,23,9.58300018e+01,5887,9.97300034e+01,5195,8.80100021e+01,692,1.17200003e+01,15,2.50000000e-01,1,1.99999996e-02,7356,5903,8.02500000e+01,,0,,8.42399979e+01,"9997",0,0.00000000e+00
"02","029","999",122,120,9.83600006e+01,33123,9.94100037e+01,30685,9.20999985e+01,2438,7.32000017e+00,175,5.29999971e-01,20,5.00000007e-02,40257,33318,8.27600021e+01,,0,,8.42300034e+01,"9997",0,0.00000000e+00
"02","030","999",94,93,9.89400024e+01,25934,9.98499985e+01,22234,8.55999985e+01,3700,1.42500000e+01,34,1.29999995e-01,6,1.99999996e-02,31031,25974,8.36999969e+01,,0,,8.37399979e+01,"9997",0,0.00000000e+00
"02","031","999",173,170,9.82699966e+01,46363,9.95500031e+01,43049,9.24300003e+01,3314,7.11999989e+00,185,4.00000006e-01,25,5.00000007e-02,56470,46573,8.24700012e+01,,0,,8.40299988e+01,"9997",0,0.00000000e+00
