pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipEscrutado,prePorcParticipEscrutado,preParticipacion,preCandidatos,OT_Codigo,OT_Votos,OT_PVotos
"02","001","999",45,42,9.33300018e+01,10519,9.98700027e+01,9477,8.99700012e+01,1042,9.89000034e+00,14,1.29999995e-01,0,0.00000000e+00,14241,10533,7.39599991e+01,,7.98600006e+01,,,"9997",0,0.00000000e+00
"02","002","999",30,29,9.66699982e+01,7617,9.99499969e+01,7076,9.28499985e+01,541,7.09999990e+00,3,3.99999991e-02,1,9.99999978e-03,9209,7621,8.27600021e+01,,8.60299988e+01,,,"9997",0,0.00000000e+00
"02","003","999",1237,1196,9.66900024e+01,331446,9.91600037e+01,303298,9.07399979e+01,28148,8.42000008e+00,2581,7.69999981e-01,228,7.00000003e-02,434038,334255,7.70100021e+01,,7.96600037e+01,,,"9997",0,0.00000000e+00
"02","004","999",848,827,9.75199966e+01,225925,9.95000000e+01,213479,9.40199966e+01,12446,5.48000002e+00,999,4.39999998e-01,136,5.99999987e-02,297007,227060,7.64499969e+01,,7.83899994e+01,,,"9997",0,0.00000000e+00
"02","005","999",59,52,8.81399994e+01,12971,9.96500015e+01,11162,8.57600021e+01,1809,1.38999996e+01,35,2.70000011e-01,10,7.00000003e-02,17091,13016,7.61600037e+01,,8.34599991e+01,,,"9997",0,0.00000000e+00
"02","006","999",168,164,9.76200027e+01,42285,9.92200012e+01,37699,8.84599991e+01,4586,1.07600002e+01,322,7.59999990e-01,10,1.99999996e-02,55377,42617,7.69599991e+01,,7.89499969e+01,,,"9997",0,0.00000000e+00
"02","007","999",708,679,9.59000015e+01,180626,9.90299988e+01,166260,9.11600037e+01,14366,7.88000011e+00,1658,9.10000026e-01,105,5.00000007e-02,245619,182389,7.42600021e+01,,7.74599991e+01,,,"9997",0,0.00000000e+00
"02","008","999",112,105,9.37500000e+01,29052,9.96699982e+01,26419,9.06299973e+01,2633,9.02999973e+00,91,3.10000002e-01,6,2.99999993e-02,38013,29149,7.66800003e+01,,8.19599991e+01,,,"9997",0,0.00000000e+00
"02","009","999",85,82,9.64700012e+01,21847,9.95299988e+01,19815,9.02699966e+01,2032,9.26000023e+00,98,4.49999988e-01,5,1.99999996e-02,27435,21950,8.00100021e+01,,8.31800003e+01,,,"9997",0,0.00000000e+00
"02","010","999",72,72,1.00000000e+02,20319,9.98099976e+01,18739,9.20500031e+01,1580,7.76000023e+00,37,1.80000007e-01,2,9.99999978e-03,24018,20358,8.47600021e+01,,8.47600021e+01,,,"9997",0,0.00000000e+00
"02","011","999",731,706,9.65800018e+01,200945,9.95800018e+01,180974,8.96800003e+01,19971,9.89999962e+00,792,3.89999986e-01,65,2.99999993e-02,254503,201802,7.92900009e+01,,8.21100006e+01,,,"9997",0,0.00000000e+00
"02","012","999",222,214,9.64000015e+01,60991,9.93300018e+01,55787,9.08600006e+01,5204,8.47999954e+00,295,4.79999989e-01,114,1.80000007e-01,77615,61400,7.91100006e+01,,8.20699997e+01,,,"9997",0,0.00000000e+00
"02","013","999",93,91,9.78499985e+01,24156,9.94400024e+01,22121,9.10599976e+01,2035,8.38000011e+00,108,4.39999998e-01,29,1.19999997e-01,29812,24293,8.14899979e+01,,8.24899979e+01,,,"9997",0,0.00000000e+00
"02","014","999",107,106,9.90699997e+01,28772,9.91900024e+01,26823,9.24700012e+01,1949,6.71999979e+00,227,7.79999971e-01,8,2.99999993e-02,35200,29007,8.24100037e+01,,8.32300034e+01,,,"9997",0,0.00000000e+00
"02","015","999",66,63,9.54499969e+01,17519,9.92500000e+01,15539,8.80299988e+01,1980,1.12200003e+01,111,6.29999995e-01,22,1.19999997e-01,21985,17652,8.02900009e+01,,8.43199997e+01,,,"9997",0,0.00000000e+00
"02","016","999",217,207,9.53899994e+01,59539,9.94300003e+01,54383,9.08199997e+01,5156,8.60999966e+00,296,4.90000010e-01,45,7.99999982e-02,75340,59880,7.94800034e+01,,8.33499985e+01,,,"9997",0,0.00000000e+00
"02","017","999",121,119,9.83499985e+01,32789,9.93000031e+01,30568,9.25800018e+01,2221,6.73000002e+00,210,6.39999986e-01,20,5.00000007e-02,40793,33019,8.09400024e+01,,8.23600006e+01,,,"9997",0,0.00000000e+00
"02","018","999",36,35,9.72200012e+01,9681,9.96200027e+01,8481,8.72699966e+01,1200,1.23500004e+01,27,2.80000001e-01,10,1.00000001e-01,12004,9718,8.09599991e+01,,8.33899994e+01,,,"9997",0,0.00000000e+00
"02","019","999",59,58,9.83099976e+01,15035,9.98499985e+01,13750,9.13099976e+01,1285,8.52999973e+00,15,1.00000001e-01,8,5.99999987e-02,18732,15058,8.03899994e+01,,8.19100037e+01,,,"9997",0,0.00000000e+00
