pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipacion,preCandidatos,preParticipEscrutado,prePorcParticipEscrutado,OT_Codigo,OT_Votos,OT_PVotos
"01","001","999",520,515,9.90400009e+01,126837,9.93600006e+01,122687,9.61100006e+01,4150,3.25000000e+00,756,5.89999974e-01,59,5.00000007e-02,179292,127652,7.11999969e+01,,0,,7.18799973e+01,"0133",932,7.59999990e-01
"01","002","999",421,420,9.97600021e+01,108181,9.95599976e+01,105508,9.70999985e+01,2673,2.46000004e+00,437,4.00000006e-01,37,3.99999991e-02,145810,108655,7.45199966e+01,,0,,7.46999969e+01,"0133",491,4.69999999e-01
"01","003","999",474,474,1.00000000e+02,121548,9.92799988e+01,117145,9.56900024e+01,4403,3.59999990e+00,829,6.80000007e-01,48,2.99999993e-02,163967,122425,7.46600037e+01,,0,,7.46600037e+01,"0133",1022,8.70000005e-01
"01","004","999",518,512,9.88399963e+01,137578,9.92500000e+01,133120,9.60299988e+01,4458,3.22000003e+00,995,7.20000029e-01,46,2.99999993e-02,178789,138619,7.75299988e+01,,0,,7.84400024e+01,"0133",1154,8.70000005e-01
"01","005","999",458,454,9.91299973e+01,123473,9.93799973e+01,118882,9.56900024e+01,4591,3.70000005e+00,734,5.89999974e-01,31,1.99999996e-02,158836,124238,7.82200012e+01,,0,,7.89100037e+01,"0133",918,7.69999981e-01
"01","006","999",463,463,1.00000000e+02,129336,9.94599991e+01,124504,9.57500000e+01,4832,3.72000003e+00,675,5.19999981e-01,21,9.99999978e-03,161249,130032,8.06399994e+01,,0,,8.06399994e+01,"0133",753,6.00000024e-01
"01","007","999",502,495,9.86100006e+01,134224,9.92799988e+01,129597,9.58499985e+01,4627,3.42000008e+00,867,6.39999986e-01,112,9.00000036e-02,174159,135203,7.76299973e+01,,0,,7.87300034e+01,"0133",1045,8.10000002e-01
"01","008","999",395,395,1.00000000e+02,108421,9.93000031e+01,105367,9.65000000e+01,3054,2.79999995e+00,737,6.80000007e-01,25,1.99999996e-02,137805,109183,7.92300034e+01,,0,,7.92300034e+01,"0133",1029,9.80000019e-01
"01","009","999",425,421,9.90599976e+01,117648,9.93499985e+01,114110,9.63700027e+01,3538,2.99000001e+00,726,6.10000014e-01,39,2.99999993e-02,147154,118413,8.04700012e+01,,0,,8.12399979e+01,"0133",1257,1.10000002e+00
"01","010","999",432,432,1.00000000e+02,120254,9.93399963e+01,116185,9.59800034e+01,4069,3.35999990e+00,782,6.49999976e-01,12,9.99999978e-03,149400,121048,8.10199966e+01,,0,,8.10199966e+01,"0133",1089,9.39999998e-01
"01","011","999",499,499,1.00000000e+02,139625,9.93700027e+01,135007,9.60899963e+01,4618,3.28999996e+00,849,6.00000024e-01,30,1.99999996e-02,172852,140504,8.12900009e+01,,0,,8.12900009e+01,"0133",998,7.40000010e-01
"01","012","999",541,540,9.98199997e+01,152127,9.94400024e+01,147111,9.61600037e+01,5016,3.27999997e+00,828,5.40000021e-01,27,1.99999996e-02,187284,152982,8.16800003e+01,,0,,8.18399963e+01,"0133",1108,7.50000000e-01
"01","013","999",631,627,9.93700027e+01,170087,9.95599976e+01,165174,9.66800003e+01,4913,2.88000011e+00,723,4.19999987e-01,30,1.99999996e-02,218521,170840,7.81800003e+01,,0,,7.86800003e+01,"0133",764,4.60000008e-01
"01","014","999",606,602,9.93399963e+01,160443,9.95299988e+01,156052,9.68099976e+01,4391,2.72000003e+00,716,4.39999998e-01,39,2.99999993e-02,210928,161198,7.64199982e+01,,0,,7.69300003e+01,"0133",960,6.20000005e-01
"01","015","999",480,477,9.93799973e+01,129231,9.93000031e+01,124310,9.55199966e+01,4921,3.77999997e+00,880,6.80000007e-01,25,1.99999996e-02,166636,130136,7.80999985e+01,,0,,7.85899963e+01,"0133",880,7.09999979e-01
"01","999","999",7365,7326,9.94700012e+01,1979013,9.93899994e+01,1914759,9.61600037e+01,64254,3.23000002e+00,11534,5.79999983e-01,581,2.99999993e-02,2552682,1991128,7.80000000e+01,,0,,7.84199982e+01,"0133",14400,7.50000000e-01
"02","001","999",44,41,9.31800003e+01,10492,9.98700027e+01,9214,8.76999969e+01,1278,1.21599998e+01,14,1.29999995e-01,0,0.00000000e+00,14171,10506,7.41399994e+01,,0,,8.00800018e+01,"0133",76,8.19999993e-01
"02","002","999",29,28,9.65500031e+01,7590,9.99499969e+01,6617,8.71299973e+01,973,1.28100004e+01,3,3.99999991e-02,1,1.99999996e-02,9147,7594,8.30199966e+01,,0,,8.63199997e+01,"0133",54,8.19999993e-01
"02","003","999",1191,1151,9.66399994e+01,331121,9.92200012e+01,312520,9.36500015e+01,18601,5.57000017e+00,2478,7.40000010e-01,123,3.99999991e-02,415029,333722,8.04100037e+01,,0,,8.32099991e+01,"0133",3134,1.00000000e+00
"02","004","999",806,785,9.73899994e+01,221236,9.95299988e+01,211524,9.51600037e+01,9712,4.36999989e+00,958,4.30000007e-01,86,3.99999991e-02,278929,222280,7.96900024e+01,,0,,8.18499985e+01,"0133",1641,7.79999971e-01
"02","005","999",58,52,8.96600037e+01,12965,9.96500015e+01,10791,8.29400024e+01,2174,1.67099991e+01,36,2.80000001e-01,10,7.00000003e-02,17022,13011,7.64400024e+01,,0,,8.34300003e+01,"0133",133,1.23000002e+00
"02","006","999",167,163,9.75999985e+01,42091,9.92200012e+01,35732,8.42300034e+01,6359,1.49899998e+01,320,7.50000000e-01,10,2.99999993e-02,55060,42421,7.70500031e+01,,0,,7.90500031e+01,"0133",343,9.59999979e-01
"02","007","999",688,659,9.57799988e+01,179725,9.90000000e+01,162789,8.96699982e+01,16936,9.32999992e+00,1752,9.70000029e-01,67,2.99999993e-02,237292,181544,7.65100021e+01,,0,,7.99300003e+01,"0133",2103,1.28999996e+00
"02","008","999",111,104,9.36900024e+01,28808,9.96500015e+01,25922,8.96699982e+01,2886,9.97999954e+00,96,3.30000013e-01,4,1.99999996e-02,37704,28908,7.66699982e+01,,0,,8.19899979e+01,"0133",377,1.45000005e+00
"02","009","999",84,81,9.64300003e+01,21674,9.95699997e+01,19506,8.96100006e+01,2168,9.96000004e+00,89,4.09999996e-01,5,1.99999996e-02,27119,21768,8.02699966e+01,,0,,8.35000000e+01,"0133",173,8.89999986e-01
"02","010","999",71,71,1.00000000e+02,20098,9.98000031e+01,18318,9.09599991e+01,1780,8.84000015e+00,38,1.89999998e-01,2,9.99999978e-03,23840,20138,8.44700012e+01,,0,,8.44700012e+01,"0133",167,9.10000026e-01
"02","011","999",703,678,9.64400024e+01,198374,9.95699997e+01,184173,9.24499969e+01,14201,7.13000011e+00,807,4.09999996e-01,40,9.99999978e-03,242908,199221,8.20199966e+01,,0,,8.50800018e+01,"0133",1806,9.80000019e-01
"02","012","999",215,207,9.62799988e+01,59888,9.94400024e+01,54915,9.11800003e+01,4973,8.26000023e+00,308,5.09999990e-01,30,5.00000007e-02,74670,60226,8.06600037e+01,,0,,8.38000031e+01,"0133",574,1.04999995e+00
"02","013","999",92,90,9.78300018e+01,24133,9.94300003e+01,21490,8.85400009e+01,2643,1.08900003e+01,114,4.69999999e-01,25,1.00000001e-01,29675,24272,8.17900009e+01,,0,,8.28000031e+01,"0133",246,1.13999999e+00
"02","014","999",106,105,9.90599976e+01,28842,9.91900024e+01,26142,8.99100037e+01,2700,9.28999996e+00,227,7.79999971e-01,8,1.99999996e-02,35039,29077,8.29800034e+01,,0,,8.38199997e+01,"0133",258,9.90000010e-01
"02","015","999",64,61,9.53099976e+01,17305,9.92500000e+01,15200,8.71800003e+01,2105,1.20699997e+01,121,6.89999998e-01,10,5.99999987e-02,21480,17436,8.11699982e+01,,0,,8.53499985e+01,"0133",142,9.30000007e-01
"02","016","999",213,203,9.53099976e+01,58880,9.93799973e+01,53784,9.07799988e+01,5096,8.60000038e+00,333,5.60000002e-01,32,5.99999987e-02,73715,59245,8.03700027e+01,,0,,8.43799973e+01,"0133",539,1.00000000e+00
"02","017","999",118,116,9.83099976e+01,32376,9.92900009e+01,30621,9.39100037e+01,1755,5.38000011e+00,211,6.49999976e-01,20,5.99999987e-02,39728,32607,8.20800018e+01,,0,,8.35500031e+01,"0133",290,9.49999988e-01
"02","018","999",35,34,9.71399994e+01,9658,9.95999985e+01,8280,8.53899994e+01,1378,1.42100000e+01,31,3.19999993e-01,8,7.99999982e-02,11909,9697,8.14300003e+01,,0,,8.38899994e+01,"0133",90,1.09000003e+00
"02","019","999",58,57,9.82799988e+01,14989,9.94599991e+01,13251,8.79199982e+01,1738,1.15299997e+01,75,5.00000000e-01,7,5.00000007e-02,18618,15071,8.09499969e+01,,0,,8.24899979e+01,"0133",139,1.04999995e+00
"02","020","999",30,30,1.00000000e+02,8647,9.97300034e+01,7696,8.87699966e+01,951,1.09700003e+01,21,2.39999995e-01,2,1.99999996e-02,9806,8670,8.84199982e+01,,0,,8.84199982e+01,"0133",52,6.80000007e-01
"02","021","999",37,37,1.00000000e+02,10363,9.98199997e+01,8647,8.32900009e+01,1716,1.65300007e+01,17,1.59999996e-01,2,1.99999996e-02,12405,10382,8.36900024e+01,,0,,8.36900024e+01,"0133",62,7.20000029e-01
"02","022","999",75,72,9.60000000e+01,19385,9.95899963e+01,17450,8.96500015e+01,1935,9.93999958e+00,72,3.70000005e-01,7,3.99999991e-02,25235,19464,7.71299973e+01,,0,,8.05000000e+01,"0133",130,7.40000010e-01
"02","023","999",23,22,9.56500015e+01,5868,9.97300034e+01,5227,8.88300018e+01,641,1.08900003e+01,16,2.70000011e-01,0,0.00000000e+00,7294,5884,8.06699982e+01,,0,,8.47200012e+01,"0133",49,9.39999998e-01
"02","024","999",60,57,9.50000000e+01,15936,9.96500015e+01,14313,8.95000000e+01,1623,1.01499996e+01,56,3.49999994e-01,0,0.00000000e+00,20338,15992,7.86299973e+01,,0,,8.29000015e+01,"0133",221,1.53999996e+00
"02","025","999",45,45,1.00000000e+02,11155,9.96399994e+01,9363,8.36399994e+01,1792,1.60100002e+01,38,3.40000004e-01,2,9.99999978e-03,13521,11195,8.28000031e+01,,0,,8.28000031e+01,"0133",79,8.39999974e-01
"02","026","999",62,61,9.83899994e+01,15547,9.96600037e+01,12923,8.28399963e+01,2624,1.68199997e+01,47,3.00000012e-01,6,3.99999991e-02,19951,15600,7.81900024e+01,,0,,7.95899963e+01,"0133",161,1.25000000e+00
"02","027","999",142,139,9.78899994e+01,36287,9.94899979e+01,32882,9.01500015e+01,3405,9.34000015e+00,182,5.00000000e-01,5,9.99999978e-03,47843,36474,7.62399979e+01,,0,,7.79400024e+01,"0133",446,1.36000001e+00
"02","028","999",102,95,9.31399994e+01,25360,9.93499985e+01,22180,8.68899994e+01,3180,1.24600000e+01,154,6.00000024e-01,12,5.00000007e-02,33261,25526,7.67399979e+01,,0,,8.19499969e+01,"0133",259,1.16999996e+00
"02","029","999",121,119,9.83499985e+01,32966,9.94000015e+01,30871,9.30899963e+01,2095,6.32000017e+00,178,5.40000021e-01,20,5.00000007e-02,39875,33164,8.31699982e+01,,0,,8.46600037e+01,"0133",355,1.14999998e+00
"02","030","999",93,92,9.89199982e+01,25781,9.97300034e+01,22481,8.69700012e+01,3300,1.27700005e+01,64,2.50000000e-01,5,9.99999978e-03,30752,25850,8.40599976e+01,,0,,8.40999985e+01,"0133",219,9.70000029e-01
"02","031","999",171,168,9.82500000e+01,46423,9.96200027e+01,42985,9.22399979e+01,3438,7.38000011e+00,151,3.19999993e-01,26,5.99999987e-02,55939,46600,8.33099976e+01,,0,,8.49000015e+01,"0133",277,6.39999986e-01
"02","032","999",43,43,1.00000000e+02,12247,9.96299973e+01,10832,8.81200027e+01,1415,1.15100002e+01,45,3.70000005e-01,1,0.00000000e+00,14143,12293,8.69199982e+01,,0,,8.69199982e+01,"0133",58,5.40000021e-01
"02","033","999",69,67,9.70999985e+01,18428,9.94000015e+01,15890,8.57099991e+01,2538,1.36899996e+01,96,5.19999981e-01,15,7.99999982e-02,23244,18539,7.97600021e+01,,0,,8.22300034e+01,"0133",85,5.29999971e-01
"02","034","999",146,142,9.72600021e+01,40044,9.94700012e+01,36362,9.03199997e+01,3682,9.14999962e+00,194,4.79999989e-01,21,5.00000007e-02,50655,40259,7.94800034e+01,,0,,8.17399979e+01,"0133",361,9.90000010e-01
"02","035","999",470,450,9.57399979e+01,129629,9.95000000e+01,120574,9.25500031e+01,9055,6.94999981e+00,572,4.39999998e-01,77,5.99999987e-02,163009,130278,7.99199982e+01,,0,,8.35100021e+01,"0133",1584,1.30999994e+00
"02","036","999",603,589,9.76800003e+01,169680,9.91999969e+01,159707,9.33700027e+01,9973,5.82999992e+00,1261,7.40000010e-01,107,5.99999987e-02,208954,171048,8.18600006e+01,,0,,8.38199997e+01,"0133",1559,9.80000019e-01
"02","037","999",73,67,9.17799988e+01,18517,9.92699966e+01,17076,9.15400009e+01,1441,7.71999979e+00,125,6.70000017e-01,12,7.00000003e-02,24619,18654,7.57699966e+01,,0,,8.28399963e+01,"0133",194,1.13999999e+00
"02","038","999",834,775,9.29300003e+01,223315,9.94300003e+01,206617,9.20000000e+01,16698,7.42999983e+00,1159,5.19999981e-01,118,5.00000007e-02,289493,224592,7.75800018e+01,,0,,8.34899979e+01,"0133",2089,1.00999999e+00
"02","039","999",99,95,9.59599991e+01,25315,9.94300003e+01,23166,9.09899979e+01,2149,8.43999958e+00,129,5.09999990e-01,17,5.99999987e-02,33397,25461,7.62399979e+01,,0,,7.89400024e+01,"0133",202,8.70000005e-01
"02","040","999",26,25,9.61500015e+01,6721,9.99000015e+01,5563,8.26800003e+01,1158,1.72099991e+01,7,1.00000001e-01,0,0.00000000e+00,8244,6728,8.16100006e+01,,0,,8.52200012e+01,"0133",27,4.90000010e-01
"02","041","999",43,43,1.00000000e+02,12097,9.95599976e+01,11225,9.23899994e+01,872,7.17999983e+00,48,4.00000006e-01,5,2.99999993e-02,14165,12150,8.57699966e+01,,0,,8.57699966e+01,"0133",120,1.07000005e+00
