pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipacion,preCandidatos,preParticipEscrutado,prePorcParticipEscrutado,OT_Codigo,OT_Votos,OT_PVotos
"01","001","999",520,515,9.90400009e+01,126662,9.93600006e+01,122153,9.58300018e+01,4509,3.53999996e+00,762,6.00000024e-01,50,2.99999993e-02,179292,127474,7.10999985e+01,,0,,7.17799988e+01,"0186",3251,2.66000009e+00
"01","002","999",421,420,9.97600021e+01,108011,9.95599976e+01,105255,9.70199966e+01,2756,2.53999996e+00,439,4.00000006e-01,33,3.99999991e-02,145810,108483,7.44000015e+01,,0,,7.45800018e+01,"0186",2160,2.04999995e+00
"01","003","999",474,474,1.00000000e+02,121565,9.93000031e+01,116913,9.55000000e+01,4652,3.79999995e+00,807,6.60000026e-01,52,3.99999991e-02,163967,122424,7.46600037e+01,,0,,7.46600037e+01,"0186",3739,3.20000005e+00
"01","004","999",518,512,9.88399963e+01,137490,9.92399979e+01,132255,9.54599991e+01,5235,3.77999997e+00,1000,7.20000029e-01,55,3.99999991e-02,178789,138545,7.74899979e+01,,0,,7.84000015e+01,"0186",3124,2.35999990e+00
"01","005","999",458,454,9.91299973e+01,123530,9.93700027e+01,119370,9.60299988e+01,4160,3.34999990e+00,750,6.00000024e-01,27,1.99999996e-02,158836,124307,7.82600021e+01,,0,,7.89499969e+01,"0186",4794,4.01999998e+00
"01","006","999",463,463,1.00000000e+02,129201,9.94499969e+01,124991,9.62099991e+01,4210,3.24000001e+00,696,5.40000021e-01,22,9.99999978e-03,161249,129919,8.05699997e+01,,0,,8.05699997e+01,"0186",5065,4.05000019e+00
"01","007","999",502,495,9.86100006e+01,134118,9.92799988e+01,129608,9.59400024e+01,4510,3.33999991e+00,859,6.39999986e-01,109,7.99999982e-02,174159,135086,7.75599976e+01,,0,,7.86600037e+01,"0186",4246,3.27999997e+00
"01","008","999",395,395,1.00000000e+02,108252,9.93199997e+01,104106,9.55100021e+01,4146,3.79999995e+00,716,6.60000026e-01,29,2.99999993e-02,137805,108997,7.90999985e+01,,0,,7.90999985e+01,"0186",1692,1.63000000e+00
"01","009","999",425,421,9.90599976e+01,117507,9.93600006e+01,113391,9.58799973e+01,4116,3.48000002e+00,719,6.10000014e-01,39,2.99999993e-02,147154,118265,8.03700027e+01,,0,,8.11399994e+01,"0186",2822,2.49000001e+00
"01","010","999",432,432,1.00000000e+02,120283,9.93399963e+01,116301,9.60500031e+01,3982,3.28999996e+00,790,6.49999976e-01,13,9.99999978e-03,149400,121086,8.10500031e+01,,0,,8.10500031e+01,"0186",4056,3.49000001e+00
"01","011","999",499,499,1.00000000e+02,139555,9.93700027e+01,135094,9.61999969e+01,4461,3.18000007e+00,849,6.00000024e-01,32,1.99999996e-02,172852,140436,8.12500000e+01,,0,,8.12500000e+01,"0186",4656,3.45000005e+00
"01","012","999",541,540,9.98199997e+01,151958,9.94599991e+01,147155,9.63099976e+01,4803,3.14000010e+00,804,5.29999971e-01,28,1.99999996e-02,187284,152790,8.15800018e+01,,0,,8.17300034e+01,"0186",4819,3.26999998e+00
