pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipacion,preCandidatos,preParticipEscrutado,prePorcParticipEscrutado,OT_Codigo,OT_Votos,OT_PVotos
"01","001","999",520,515,9.90400009e+01,127161,9.93499985e+01,125831,9.83199997e+01,1330,1.03999996e+00,782,6.10000014e-01,44,2.99999993e-02,179292,127987,7.13799973e+01,,,,7.20699997e+01,"0133",944,7.50000000e-01
"01","002","999",421,420,9.97600021e+01,108056,9.95599976e+01,107307,9.88700027e+01,749,6.89999998e-01,440,4.09999996e-01,39,2.99999993e-02,145810,108535,7.44400024e+01,,,,7.46100006e+01,"0133",470,4.39999998e-01
"01","003","999",474,474,1.00000000e+02,121868,9.92799988e+01,120473,9.81500015e+01,1395,1.13999999e+00,836,6.80000007e-01,43,2.99999993e-02,163967,122747,7.48600006e+01,,,,7.48600006e+01,"0133",1023,8.50000024e-01
"01","004","999",518,512,9.88399963e+01,137491,9.92300034e+01,135892,9.80800018e+01,1599,1.14999998e+00,1012,7.30000019e-01,50,3.99999991e-02,178789,138553,7.75000000e+01,,,,7.84000015e+01,"0133",1146,8.39999974e-01
"01","005","999",458,454,9.91299973e+01,123577,9.93799973e+01,122183,9.82500000e+01,1394,1.12000000e+00,742,6.00000024e-01,34,2.99999993e-02,158836,124353,7.82900009e+01,,,,7.89800034e+01,"0133",900,7.40000010e-01
"01","006","999",463,463,1.00000000e+02,129670,9.94599991e+01,128225,9.83499985e+01,1445,1.11000001e+00,683,5.19999981e-01,25,1.99999996e-02,161249,130378,8.08600006e+01,,,,8.08600006e+01,"0133",754,5.89999974e-01
"01","007","999",502,495,9.86100006e+01,134812,9.92799988e+01,133253,9.81299973e+01,1559,1.14999998e+00,869,6.39999986e-01,109,7.99999982e-02,174159,135790,7.79700012e+01,,,,7.90699997e+01,"0133",1083,8.10000002e-01
"01","008","999",395,395,1.00000000e+02,108447,9.92399979e+01,107243,9.81399994e+01,1204,1.10000002e+00,803,7.30000019e-01,27,2.99999993e-02,137805,109277,7.93000031e+01,,,,7.93000031e+01,"0133",1041,9.70000029e-01
"01","009","999",425,421,9.90599976e+01,117653,9.93600006e+01,116332,9.82399979e+01,1321,1.12000000e+00,722,6.10000014e-01,37,2.99999993e-02,147154,118412,8.04700012e+01,,,,8.12399979e+01,"0133",1164,1.00000000e+00
"01","010","999",432,432,1.00000000e+02,120569,9.93499985e+01,119197,9.82200012e+01,1372,1.13000000e+00,775,6.39999986e-01,12,9.99999978e-03,149400,121356,8.12300034e+01,,,,8.12300034e+01,"0133",1077,8.99999976e-01
"01","011","999",499,499,1.00000000e+02,139637,9.93600006e+01,138122,9.82799988e+01,1515,1.08000004e+00,865,6.20000005e-01,31,1.99999996e-02,172852,140533,8.13000031e+01,,,,8.13000031e+01,"0133",994,7.20000029e-01
"01","012","999",541,540,9.98199997e+01,152345,9.94300003e+01,150720,9.83700027e+01,1625,1.05999994e+00,838,5.50000012e-01,30,1.99999996e-02,187284,153213,8.18099976e+01,,,,8.19599991e+01,"0133",967,6.39999986e-01
"01","013","999",631,627,9.93700027e+01,170042,9.95400009e+01,168489,9.86399994e+01,1553,9.10000026e-01,733,4.30000007e-01,45,1.99999996e-02,218521,170820,7.81699982e+01,,,,7.86699982e+01,"0133",851,5.09999990e-01
"01","014","999",606,602,9.93399963e+01,160534,9.95199966e+01,159111,9.86399994e+01,1423,8.79999995e-01,731,4.49999988e-01,43,2.99999993e-02,210928,161308,7.64800034e+01,,,,7.69800034e+01,"0133",722,4.49999988e-01
"01","015","999",480,477,9.93799973e+01,129305,9.92600021e+01,127704,9.80299988e+01,1601,1.23000002e+00,938,7.20000029e-01,26,1.99999996e-02,166636,130269,7.81800003e+01,,,,7.86699982e+01,"0133",883,6.89999998e-01
"01","999","999",7365,7326,9.94700012e+01,1981167,9.93799973e+01,1960082,9.83199997e+01,21085,1.05999994e+00,11769,5.89999974e-01,595,2.99999993e-02,2552682,1993531,7.80999985e+01,,,,7.85100021e+01,"0133",14019,7.20000029e-01
