pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipacion,preCandidatos,preParticipEscrutado,prePorcParticipEscrutado,OT_Codigo,OT_Votos,OT_PVotos
"03","001","999",363,326,8.98099976e+01,79027,9.92200012e+01,68366,8.58399963e+01,10661,1.33900003e+01,538,6.80000007e-01,82,9.00000036e-02,123658,79647,6.44100037e+01,,0,,7.17099991e+01,"9997",0,0.00000000e+00
"03","002","999",43,38,8.83700027e+01,8377,9.92099991e+01,7717,9.13899994e+01,660,7.82000017e+00,18,2.09999993e-01,49,5.79999983e-01,12900,8444,6.54599991e+01,,0,,7.45599976e+01,"9997",0,0.00000000e+00
"03","003","999",59,27,4.57599983e+01,4752,9.93899994e+01,4421,9.24700012e+01,331,6.92000008e+00,23,4.79999989e-01,6,1.29999995e-01,18380,4781,2.60100002e+01,,0,,5.76899986e+01,"9997",0,0.00000000e+00
"03","004","999",12,10,8.33300018e+01,1998,9.84700012e+01,1845,9.09300003e+01,153,7.53999996e+00,28,1.38000000e+00,3,1.50000006e-01,2693,2029,7.53399963e+01,,0,,8.23499985e+01,"9997",0,0.00000000e+00
"03","005","999",14,12,8.57099991e+01,2162,9.98199997e+01,1820,8.40299988e+01,342,1.57900000e+01,3,1.40000001e-01,1,3.99999991e-02,3587,2166,6.03800011e+01,,0,,7.30500031e+01,"9997",0,0.00000000e+00
"03","006","999",34,30,8.82399979e+01,6657,9.96100006e+01,5736,8.58300018e+01,921,1.37799997e+01,23,3.40000004e-01,3,5.00000007e-02,9895,6683,6.75400009e+01,,0,,7.65699997e+01,"9997",0,0.00000000e+00
"03","007","999",14,12,8.57099991e+01,2805,9.97200012e+01,2484,8.83000031e+01,321,1.14099998e+01,6,2.09999993e-01,2,7.99999982e-02,3916,2813,7.18300018e+01,,0,,8.49300003e+01,"9997",0,0.00000000e+00
"03","008","999",68,64,9.41200027e+01,13946,9.95299988e+01,12328,8.79800034e+01,1618,1.15500002e+01,47,3.40000004e-01,19,1.29999995e-01,22095,14012,6.34199982e+01,,0,,6.75599976e+01,"9997",0,0.00000000e+00
"03","009","999",31,24,7.74199982e+01,6233,9.90000000e+01,5216,8.28499985e+01,1017,1.61499996e+01,47,7.50000000e-01,16,2.50000000e-01,9926,6296,6.34300003e+01,,0,,8.17699966e+01,"9997",0,0.00000000e+00
"03","010","999",19,18,9.47399979e+01,3687,9.98399963e+01,3103,8.40199966e+01,584,1.58100004e+01,1,2.99999993e-02,5,1.40000001e-01,4768,3693,7.74499969e+01,,0,,8.27099991e+01,"9997",0,0.00000000e+00
"03","011","999",29,25,8.62099991e+01,5990,9.96999969e+01,5358,8.91800003e+01,632,1.05200005e+01,13,2.19999999e-01,5,7.99999982e-02,8408,6008,7.14599991e+01,,0,,8.30100021e+01,"9997",0,0.00000000e+00
"03","012","999",46,42,9.13000031e+01,10187,9.95500031e+01,8695,8.49700012e+01,1492,1.45799999e+01,44,4.30000007e-01,2,1.99999996e-02,14626,10233,6.99599991e+01,,0,,7.71399994e+01,"9997",0,0.00000000e+00
"03","013","999",69,65,9.41999969e+01,15600,9.94599991e+01,14069,8.96999969e+01,1531,9.76000023e+00,78,5.00000000e-01,7,3.99999991e-02,21474,15685,7.30400009e+01,,0,,7.79599991e+01,"9997",0,0.00000000e+00
"03","014","999",4,4,1.00000000e+02,924,9.98899994e+01,883,9.54599991e+01,41,4.42999983e+00,1,1.09999999e-01,0,0.00000000e+00,1199,925,7.71500015e+01,,0,,7.71500015e+01,"9997",0,0.00000000e+00
"03","015","999",57,50,8.77200012e+01,11150,9.90599976e+01,10305,9.15500031e+01,845,7.51000023e+00,43,3.79999995e-01,63,5.60000002e-01,17352,11256,6.48700027e+01,,0,,7.37699966e+01,"9997",0,0.00000000e+00
"03","016","999",60,58,9.66699982e+01,14313,9.94000015e+01,11947,8.29700012e+01,2366,1.64300003e+01,78,5.40000021e-01,8,5.99999987e-02,19266,14399,7.47399979e+01,,0,,7.65000000e+01,"9997",0,0.00000000e+00
"03","999","999",922,805,8.73099976e+01,187808,9.93300018e+01,164293,8.69000015e+01,23515,1.24399996e+01,991,5.19999981e-01,271,1.40000001e-01,294143,189070,6.42799988e+01,,3,,7.35800018e+01,"9997",0,0.00000000e+00
"04","001","999",3183,3137,9.85500031e+01,828247,9.90400009e+01,800109,9.56699982e+01,28138,3.35999990e+00,7599,9.10000026e-01,465,5.99999987e-02,1077907,836311,7.75899963e+01,,0,,7.87099991e+01,"0063",14408,1.79999995e+00
"04","002","999",154,149,9.67500000e+01,36779,9.90699997e+01,35779,9.63700027e+01,1000,2.69000006e+00,339,9.10000026e-01,7,2.99999993e-02,47907,37125,7.74899979e+01,,0,,8.01100006e+01,"0132",1050,2.93000007e+00
"04","003","999",610,606,9.93399963e+01,161896,9.90400009e+01,155082,9.48799973e+01,6814,4.17000008e+00,1514,9.30000007e-01,48,1.99999996e-02,206616,163458,7.91100006e+01,,0,,7.96399994e+01,"0063",2977,1.91999996e+00
"04","004","999",151,143,9.46999969e+01,32349,9.94000015e+01,31436,9.65999985e+01,913,2.80999994e+00,184,5.69999993e-01,11,1.99999996e-02,46817,32544,6.95100021e+01,,0,,7.34199982e+01,"0063",478,1.51999998e+00
"04","005","999",90,89,9.88899994e+01,22153,9.97500000e+01,21718,9.77900009e+01,435,1.96000004e+00,54,2.39999995e-01,1,9.99999978e-03,28262,22208,7.85800018e+01,,0,,7.87200012e+01,"0137",266,1.22000003e+00
"04","006","999",331,330,9.96999969e+01,88124,9.93499985e+01,86324,9.73199997e+01,1800,2.02999997e+00,549,6.20000005e-01,27,2.99999993e-02,110992,88700,7.99199982e+01,,0,,8.01600037e+01,"0063",1864,2.16000009e+00
"04","007","999",86,86,1.00000000e+02,20468,9.93700027e+01,19781,9.60299988e+01,687,3.33999991e+00,128,6.20000005e-01,2,9.99999978e-03,26771,20598,7.69400024e+01,,0,,7.69400024e+01,"0063",351,1.76999998e+00
"04","008","999",158,158,1.00000000e+02,41289,9.94400024e+01,40208,9.68399963e+01,1081,2.59999990e+00,229,5.50000012e-01,4,9.99999978e-03,51116,41522,8.12300034e+01,,0,,8.12300034e+01,"0137",830,2.05999994e+00
"04","009","999",265,262,9.88700027e+01,69593,9.96500015e+01,67955,9.73000031e+01,1638,2.34999990e+00,239,3.40000004e-01,8,9.99999978e-03,87160,69840,8.01299973e+01,,0,,8.07799988e+01,"0063",1273,1.87000000e+00
"04","010","999",22,21,9.54499969e+01,3292,9.95199966e+01,3192,9.64899979e+01,100,3.01999998e+00,16,4.79999989e-01,0,0.00000000e+00,4992,3308,6.62699966e+01,,0,,7.06399994e+01,"0132",37,1.15999997e+00
"04","011","999",17,16,9.41200027e+01,3145,9.98399963e+01,2981,9.46299973e+01,164,5.21000004e+00,4,1.29999995e-01,1,2.99999993e-02,4616,3150,6.82399979e+01,,0,,7.34800034e+01,"0132",16,5.40000021e-01
"04","012","999",473,471,9.95800018e+01,121734,9.89199982e+01,117133,9.51800003e+01,4601,3.74000001e+00,1280,1.03999996e+00,47,3.99999991e-02,158813,123061,7.74899979e+01,,0,,7.77600021e+01,"0063",2599,2.22000003e+00
"04","013","999",629,625,9.93600006e+01,164479,9.91399994e+01,159652,9.62300034e+01,4827,2.91000009e+00,1397,8.39999974e-01,32,1.99999996e-02,209622,165908,7.91500015e+01,,0,,7.96600037e+01,"0137",4154,2.59999990e+00
"04","014","999",130,130,1.00000000e+02,32330,9.95800018e+01,31390,9.66800003e+01,940,2.90000010e+00,137,4.19999987e-01,0,0.00000000e+00,39709,32467,8.17600021e+01,,0,,8.17600021e+01,"0063",398,1.26999998e+00
"04","015","999",44,44,1.00000000e+02,9368,9.94899979e+01,8953,9.50800018e+01,415,4.40999985e+00,21,2.19999999e-01,27,2.89999992e-01,12288,9416,7.66299973e+01,,0,,7.66299973e+01,"0063",86,9.59999979e-01
"04","016","999",265,264,9.96200027e+01,71524,9.92799988e+01,69557,9.65500031e+01,1967,2.73000002e+00,514,7.09999979e-01,6,9.99999978e-03,87665,72044,8.21800003e+01,,0,,8.25000000e+01,"0063",1265,1.82000005e+00
"04","017","999",93,93,1.00000000e+02,24031,9.96100006e+01,23582,9.77500000e+01,449,1.86000001e+00,90,3.70000005e-01,4,1.99999996e-02,30223,24125,7.98199997e+01,,0,,7.98199997e+01,"0137",453,1.91999996e+00
"04","018","999",105,105,1.00000000e+02,24899,9.93399963e+01,24272,9.68399963e+01,627,2.50000000e+00,154,6.10000014e-01,11,5.00000007e-02,32049,25064,7.82099991e+01,,0,,7.82099991e+01,"0132",445,1.83000004e+00
"04","019","999",140,139,9.92900009e+01,35561,9.94499969e+01,34680,9.69899979e+01,881,2.46000004e+00,193,5.40000021e-01,3,9.99999978e-03,45671,35757,7.82900009e+01,,0,,7.88799973e+01,"0132",771,2.22000003e+00
"04","020","999",529,528,9.98099976e+01,137813,9.94100037e+01,134845,9.72699966e+01,2968,2.14000010e+00,808,5.79999983e-01,13,9.99999978e-03,175024,138634,7.92099991e+01,,0,,7.93499985e+01,"0063",2339,1.73000002e+00
"04","021","999",265,264,9.96200027e+01,68758,9.89800034e+01,66593,9.58600006e+01,2165,3.11999989e+00,688,9.90000010e-01,24,2.99999993e-02,86218,69470,8.05699997e+01,,0,,8.09000015e+01,"0063",1583,2.38000011e+00
"04","022","999",13,13,1.00000000e+02,2856,9.95500031e+01,2784,9.70400009e+01,72,2.50999999e+00,13,4.49999988e-01,0,0.00000000e+00,3913,2869,7.33199997e+01,,0,,7.33199997e+01,"0063",21,7.50000000e-01
"04","023","999",286,285,9.96500015e+01,77184,9.94199982e+01,75347,9.70500031e+01,1837,2.36999989e+00,432,5.60000002e-01,22,1.99999996e-02,96330,77638,8.05999985e+01,,0,,8.08799973e+01,"0063",2064,2.74000001e+00
"04","024","999",53,52,9.81100006e+01,12717,9.95599976e+01,12390,9.70000000e+01,327,2.55999994e+00,56,4.39999998e-01,0,0.00000000e+00,16023,12773,7.97200012e+01,,0,,8.11100006e+01,"0063",155,1.25000000e+00
"04","025","999",43,42,9.76699982e+01,8817,9.95299988e+01,8567,9.66999969e+01,250,2.81999993e+00,36,4.09999996e-01,6,7.00000003e-02,11936,8859,7.42200012e+01,,0,,7.49400024e+01,"0063",85,9.90000010e-01
"04","026","999",276,271,9.81900024e+01,68970,9.95699997e+01,67556,9.75299988e+01,1414,2.03999996e+00,289,4.19999987e-01,7,9.99999978e-03,90381,69266,7.66399994e+01,,0,,7.79599991e+01,"0137",1204,1.77999997e+00
"04","999","999",8411,8323,9.89499969e+01,2168376,9.91900024e+01,2101866,9.61500015e+01,66510,3.03999996e+00,16963,7.79999971e-01,776,2.99999993e-02,2789021,2186115,7.83799973e+01,,3,,7.91800003e+01,"0063",47530,2.25999999e+00
"05","001","999",819,811,9.90199966e+01,215095,9.92600021e+01,201578,9.30199966e+01,13517,6.23999977e+00,1479,6.80000007e-01,119,5.99999987e-02,283915,216693,7.63199997e+01,,0,,7.70500031e+01,"9997",0,0.00000000e+00
"05","002","999",212,212,1.00000000e+02,53451,9.95800018e+01,50734,9.45199966e+01,2717,5.05999994e+00,212,3.89999986e-01,12,2.99999993e-02,72623,53675,7.39100037e+01,,0,,7.39100037e+01,"9997",0,0.00000000e+00
"05","003","999",107,106,9.90699997e+01,26370,9.95000000e+01,24578,9.27399979e+01,1792,6.76000023e+00,117,4.39999998e-01,16,5.99999987e-02,36353,26503,7.29000015e+01,,0,,7.36100006e+01,"9997",0,0.00000000e+00
"05","004","999",101,100,9.90100021e+01,25764,9.95699997e+01,23446,9.06100006e+01,2318,8.96000004e+00,102,3.89999986e-01,9,3.99999991e-02,34326,25875,7.53799973e+01,,0,,7.61600037e+01,"9997",0,0.00000000e+00
"05","005","999",83,83,1.00000000e+02,18878,9.95800018e+01,18447,9.73000031e+01,431,2.26999998e+00,78,4.09999996e-01,2,1.99999996e-02,27502,18958,6.89300003e+01,,0,,6.89300003e+01,"9997",0,0.00000000e+00
"05","006","999",69,69,1.00000000e+02,17314,9.96100006e+01,16789,9.65899963e+01,525,3.01999998e+00,65,3.70000005e-01,3,1.99999996e-02,23434,17382,7.41699982e+01,,0,,7.41699982e+01,"9997",0,0.00000000e+00
"05","007","999",142,142,1.00000000e+02,34405,9.94400024e+01,32454,9.38000031e+01,1951,5.63999987e+00,188,5.40000021e-01,5,1.99999996e-02,47802,34598,7.23799973e+01,,0,,7.23799973e+01,"9997",0,0.00000000e+00
"05","008","999",120,118,9.83300018e+01,28002,9.95999985e+01,26447,9.40699997e+01,1555,5.53000021e+00,107,3.79999995e-01,6,1.99999996e-02,41093,28115,6.84199982e+01,,0,,6.95999985e+01,"9997",0,0.00000000e+00
"05","009","999",87,86,9.88499985e+01,20864,9.97699966e+01,19715,9.42799988e+01,1149,5.48999977e+00,48,2.30000004e-01,0,0.00000000e+00,29236,20912,7.15299988e+01,,0,,7.23899994e+01,"9997",0,0.00000000e+00
"05","010","999",47,47,1.00000000e+02,11345,9.96999969e+01,10963,9.63399963e+01,382,3.35999990e+00,33,2.89999992e-01,1,9.99999978e-03,15502,11379,7.34000015e+01,,0,,7.34000015e+01,"9997",0,0.00000000e+00
"05","011","999",88,88,1.00000000e+02,22705,9.96100006e+01,21843,9.58199997e+01,862,3.77999997e+00,84,3.70000005e-01,6,2.99999993e-02,29769,22795,7.65699997e+01,,0,,7.65699997e+01,"9997",0,0.00000000e+00
"05","012","999",40,39,9.75000000e+01,8548,9.94199982e+01,8351,9.71299973e+01,197,2.28999996e+00,47,5.50000012e-01,3,2.99999993e-02,12722,8598,6.75800018e+01,,0,,6.95000000e+01,"9997",0,0.00000000e+00
"05","013","999",49,49,1.00000000e+02,11496,9.95599976e+01,11320,9.80299988e+01,176,1.51999998e+00,48,4.19999987e-01,3,2.99999993e-02,16121,11547,7.16299973e+01,,0,,7.16299973e+01,"9997",0,0.00000000e+00
"05","014","999",43,43,1.00000000e+02,9346,9.96399994e+01,9105,9.70699997e+01,241,2.56999993e+00,22,2.30000004e-01,12,1.29999995e-01,13318,9380,7.04300003e+01,,0,,7.04300003e+01,"9997",0,0.00000000e+00
"05","015","999",52,52,1.00000000e+02,13266,9.95000000e+01,12527,9.39599991e+01,739,5.53999996e+00,62,4.69999999e-01,4,2.99999993e-02,17512,13332,7.61299973e+01,,0,,7.61299973e+01,"9997",0,0.00000000e+00
"05","016","999",33,32,9.69700012e+01,6741,9.97600021e+01,6515,9.64199982e+01,226,3.33999991e+00,12,1.80000007e-01,4,5.99999987e-02,10542,6757,6.40999985e+01,,0,,6.63000031e+01,"9997",0,0.00000000e+00
"05","017","999",51,51,1.00000000e+02,11063,9.97399979e+01,10967,9.88700027e+01,96,8.70000005e-01,29,2.59999990e-01,0,0.00000000e+00,16182,11092,6.85500031e+01,,0,,6.85500031e+01,"9997",0,0.00000000e+00
"05","018","999",26,26,1.00000000e+02,6495,9.97200012e+01,6317,9.69899979e+01,178,2.73000002e+00,16,2.50000000e-01,2,2.99999993e-02,8445,6513,7.71200027e+01,,0,,7.71200027e+01,"9997",0,0.00000000e+00
"05","019","999",82,82,1.00000000e+02,18795,9.89599991e+01,17776,9.35999985e+01,1019,5.36999989e+00,185,9.70000029e-01,12,5.99999987e-02,26579,18992,7.14499969e+01,,0,,7.14499969e+01,"9997",0,0.00000000e+00
"05","020","999",24,24,1.00000000e+02,5429,9.96299973e+01,5209,9.55999985e+01,220,4.03999996e+00,20,3.70000005e-01,0,0.00000000e+00,7485,5449,7.28000031e+01,,0,,7.28000031e+01,"9997",0,0.00000000e+00
"05","021","999",44,44,1.00000000e+02,10477,9.96699982e+01,10096,9.60400009e+01,381,3.61999989e+00,32,3.00000012e-01,3,3.99999991e-02,13989,10512,7.51399994e+01,,0,,7.51399994e+01,"9997",0,0.00000000e+00
"05","022","999",22,22,1.00000000e+02,4652,9.95299988e+01,4500,9.62799988e+01,152,3.25000000e+00,22,4.69999999e-01,0,0.00000000e+00,6837,4674,6.83600006e+01,,0,,6.83600006e+01,"9997",0,0.00000000e+00
"05","023","999",27,27,1.00000000e+02,6531,9.97399979e+01,6215,9.49100037e+01,316,4.82999992e+00,17,2.59999990e-01,0,0.00000000e+00,8707,6548,7.51999969e+01,,0,,7.51999969e+01,"9997",0,0.00000000e+00
"05","024","999",27,27,1.00000000e+02,5884,9.98799973e+01,5843,9.91900024e+01,41,6.99999988e-01,7,1.19999997e-01,0,0.00000000e+00,8449,5891,6.97200012e+01,,0,,6.97200012e+01,"9997",0,0.00000000e+00
