pre_proCodigoProvincia,pre_depCodigoDepartamento,pre_munCodigoMunicipio,preMesasTotales,preMesasEscrutadas,prePorcenMesasEscrutadas,preVotosValidos,prePorcenVotosValidos,preVotosPositivos,prePorcenVotosPositivos,preVotosEnBlanco,prePorcenVotosEnBlanco,preVotosNulos,prePorcenVotosNulos,preVotosRecurridos,prePorcenVotosRecurridos,preElectores,preTotalVotantes,prePTotalVotantes,preParticipacion,preCandidatos,preParticipEscrutado,prePorcParticipEscrutado,OT_Codigo,OT_Votos,OT_PVotos
"02","001","999",45,42,9.33300018e+01,10544,9.98899994e+01,9213,8.72799988e+01,1331,1.26099997e+01,12,1.09999999e-01,0,0.00000000e+00,14241,10556,7.41200027e+01,,0,,8.00400009e+01,"9997",0,0.00000000e+00
"02","003","999",1237,1196,9.66900024e+01,330682,9.91600037e+01,298413,8.94800034e+01,32269,9.68000031e+00,2568,7.69999981e-01,233,7.00000003e-02,434038,333483,7.68300018e+01,,0,,7.94700012e+01,"9997",0,0.00000000e+00
"02","004","999",848,827,9.75199966e+01,225812,9.95199966e+01,210224,9.26500015e+01,15588,6.86999989e+00,967,4.30000007e-01,132,5.00000007e-02,297007,226911,7.64000015e+01,,0,,7.83399963e+01,"9997",0,0.00000000e+00
"02","007","999",708,679,9.59000015e+01,180747,9.90400009e+01,161195,8.83199997e+01,19552,1.07100000e+01,1655,9.10000026e-01,105,5.99999987e-02,245619,182507,7.43000031e+01,,0,,7.75100021e+01,"9997",0,0.00000000e+00
"02","009","999",85,82,9.64700012e+01,21920,9.95500031e+01,19365,8.79499969e+01,2555,1.16000004e+01,94,4.30000007e-01,5,1.99999996e-02,27435,22019,8.02600021e+01,,0,,8.34499969e+01,"9997",0,0.00000000e+00
"02","010","999",72,72,1.00000000e+02,20272,9.98099976e+01,18291,9.00500031e+01,1981,9.75000000e+00,37,1.80000007e-01,2,1.99999996e-02,24018,20311,8.45699997e+01,,0,,8.45699997e+01,"9997",0,0.00000000e+00
"02","011","999",731,706,9.65800018e+01,200645,9.95699997e+01,177097,8.78899994e+01,23548,1.16899996e+01,793,3.89999986e-01,64,2.99999993e-02,254503,201502,7.91699982e+01,,0,,8.19899979e+01,"9997",0,0.00000000e+00
"02","012","999",222,214,9.64000015e+01,60874,9.92600021e+01,53979,8.80199966e+01,6895,1.12399998e+01,327,5.29999971e-01,128,2.09999993e-01,77615,61329,7.90199966e+01,,0,,8.19700012e+01,"9997",0,0.00000000e+00
"02","015","999",66,63,9.54499969e+01,17527,9.92099991e+01,15055,8.52200012e+01,2472,1.39899998e+01,116,6.60000026e-01,24,1.29999995e-01,21985,17667,8.03600006e+01,,0,,8.43899994e+01,"9997",0,0.00000000e+00
"02","017","999",121,119,9.83499985e+01,32791,9.93199997e+01,30055,9.10299988e+01,2736,8.28999996e+00,206,6.20000005e-01,20,5.99999987e-02,40793,33017,8.09400024e+01,,0,,8.23499985e+01,"9997",0,0.00000000e+00
"02","018","999",36,35,9.72200012e+01,9642,9.96100006e+01,8287,8.56100006e+01,1355,1.40000000e+01,30,3.10000002e-01,8,7.99999982e-02,12004,9680,8.06399994e+01,,0,,8.30599976e+01,"9997",0,0.00000000e+00
"02","021","999",38,38,1.00000000e+02,10349,9.98099976e+01,8733,8.42200012e+01,1616,1.55799999e+01,18,1.70000002e-01,2,2.99999993e-02,12471,10369,8.31399994e+01,,0,,8.31399994e+01,"9997",0,0.00000000e+00
"02","022","999",77,74,9.60999985e+01,19127,9.95899963e+01,16920,8.80999985e+01,2207,1.14899998e+01,70,3.60000014e-01,8,5.00000007e-02,26035,19205,7.37699966e+01,,0,,7.68799973e+01,"9997",0,0.00000000e+00
"02","024","999",61,58,9.50800018e+01,16002,9.96800003e+01,14000,8.72099991e+01,2002,1.24700003e+01,47,2.89999992e-01,4,2.99999993e-02,20432,16053,7.85699997e+01,,0,,8.28199997e+01,"9997",0,0.00000000e+00
"02","025","999",46,46,1.00000000e+02,11163,9.96299973e+01,9238,8.24499969e+01,1925,1.71800003e+01,38,3.40000004e-01,3,2.99999993e-02,13617,11204,8.22799988e+01,,0,,8.22799988e+01,"9997",0,0.00000000e+00
"02","026","999",63,62,9.84100037e+01,15536,9.96999969e+01,12643,8.11399994e+01,2893,1.85699997e+01,40,2.59999990e-01,6,2.99999993e-02,20038,15582,7.77600021e+01,,0,,7.91500015e+01,"9997",0,0.00000000e+00
"02","027","999",144,141,9.79199982e+01,36385,9.95299988e+01,32172,8.80000000e+01,4213,1.15200005e+01,168,4.60000008e-01,5,1.99999996e-02,48407,36558,7.55199966e+01,,0,,7.71900024e+01,"9997",0,0.00000000e+00
"02","028","999",103,96,9.31999969e+01,25507,9.93499985e+01,22141,8.62399979e+01,3366,1.31099997e+01,155,6.00000024e-01,12,5.00000007e-02,33417,25674,7.68300018e+01,,0,,8.20100021e+01,"9997",0,0.00000000e+00
"02","032","999",44,44,1.00000000e+02,12301,9.95999985e+01,10871,8.80199966e+01,1430,1.15799999e+01,49,4.00000006e-01,1,0.00000000e+00,14225,12351,8.68300018e+01,,0,,8.68300018e+01,"9997",0,0.00000000e+00
"02","034","999",149,145,9.73199997e+01,40680,9.92900009e+01,35464,8.65599976e+01,5216,1.27299995e+01,250,6.10000014e-01,39,1.00000001e-01,51843,40969,7.90299988e+01,,0,,8.12200012e+01,"9997",0,0.00000000e+00
"02","036","999",643,629,9.78199997e+01,173211,9.92099991e+01,156770,8.97900009e+01,16441,9.42000008e+00,1247,7.09999979e-01,132,7.99999982e-02,226143,174590,7.71999969e+01,,0,,7.89100037e+01,"9997",0,0.00000000e+00
"02","037","999",76,70,9.21100006e+01,18951,9.93000031e+01,16956,8.88499985e+01,1995,1.04499998e+01,119,6.20000005e-01,14,7.99999982e-02,25662,19084,7.43700027e+01,,0,,8.10000000e+01,"9997",0,0.00000000e+00
"02","038","999",870,810,9.30999985e+01,224020,9.93600006e+01,192831,8.55299988e+01,31189,1.38299999e+01,1224,5.40000021e-01,211,1.00000001e-01,304902,225455,7.39400024e+01,,0,,7.93300018e+01,"9997",0,0.00000000e+00
"02","044","999",32,31,9.68799973e+01,7692,9.93499985e+01,6846,8.84300003e+01,846,1.09300003e+01,49,6.29999995e-01,1,9.99999978e-03,9398,7742,8.23799973e+01,,0,,8.55599976e+01,"9997",0,0.00000000e+00
"02","056","999",32,32,1.00000000e+02,8765,9.93799973e+01,6957,7.88799973e+01,1808,2.05000000e+01,36,4.09999996e-01,19,2.09999993e-01,10420,8820,8.46399994e+01,,0,,8.46399994e+01,"9997",0,0.00000000e+00
"02","057","999",31,28,9.03199997e+01,7548,9.99100037e+01,6735,8.91500015e+01,813,1.07600002e+01,6,7.99999982e-02,1,9.99999978e-03,9750,7555,7.74899979e+01,,0,,8.54700012e+01,"9997",0,0.00000000e+00
"02","059","999",55,52,9.45500031e+01,13387,9.93499985e+01,11706,8.68799973e+01,1681,1.24799995e+01,85,6.29999995e-01,2,9.99999978e-03,17051,13474,7.90199966e+01,,0,,8.19199982e+01,"9997",0,0.00000000e+00
"02","061","999",2931,2796,9.53899994e+01,772085,9.94800034e+01,701184,9.03499985e+01,70901,9.14000034e+00,3502,4.49999988e-01,498,5.99999987e-02,1039718,776085,7.46399994e+01,,0,,7.81900024e+01,"9997",0,0.00000000e+00
"02","062","999",1125,1078,9.58199997e+01,293592,9.95400009e+01,273659,9.27799988e+01,19933,6.76000023e+00,1192,4.00000006e-01,155,5.99999987e-02,394698,294939,7.47300034e+01,,0,,7.79400024e+01,"9997",0,0.00000000e+00
"02","063","999",1596,1532,9.59899979e+01,419964,9.92600021e+01,392075,9.26699982e+01,27889,6.59000015e+00,2536,6.00000024e-01,603,1.40000001e-01,552687,423103,7.65500031e+01,,0,,7.95999985e+01,"0301",9268,2.35999990e+00
"02","064","999",31,30,9.67699966e+01,7544,9.96999969e+01,6907,9.12799988e+01,637,8.42000008e+00,17,2.19999999e-01,6,7.99999982e-02,9171,7567,8.25100021e+01,,0,,8.26500015e+01,"9997",0,0.00000000e+00
"02","069","999",91,88,9.66999969e+01,24262,9.96999969e+01,21696,8.91500015e+01,2566,1.05400000e+01,65,2.70000011e-01,9,3.99999991e-02,30122,24336,8.07900009e+01,,0,,8.36999969e+01,"9997",0,0.00000000e+00
"02","070","999",1449,1404,9.68899994e+01,387212,9.93899994e+01,353685,9.07799988e+01,33527,8.60999966e+00,2088,5.40000021e-01,295,7.00000003e-02,513469,389595,7.58799973e+01,,0,,7.82900009e+01,"9997",0,0.00000000e+00
"02","072","999",46,44,9.56500015e+01,11156,9.96500015e+01,10007,8.93899994e+01,1149,1.02600002e+01,30,2.70000011e-01,9,7.99999982e-02,14331,11195,7.81200027e+01,,0,,8.21299973e+01,"9997",0,0.00000000e+00
"02","086","999",16,16,1.00000000e+02,4325,9.98799973e+01,3754,8.66999969e+01,571,1.31899996e+01,4,9.00000036e-02,1,1.99999996e-02,5149,4330,8.40899963e+01,,0,,8.40899963e+01,"9997",0,0.00000000e+00
