sub_votproCodigoProvincia,sub_votdepCodigoDepartamento,sub_votmunCodigoMunicipio,sub_votparCodigo,sub_parCodigo,ordenPartidos,subVotosPartido,subPorcenVotos,subCandidatos
"20","001","999","0701","3006",,11304,4.71800003e+01,
"20","001","999","0701","3023",,2695,1.12500000e+01,
"20","001","999","0701","3038",,3867,1.61399994e+01,
"20","001","999","0701","3043",,1476,6.15999985e+00,
"20","001","999","0701","3051",,2004,8.35999966e+00,
"20","001","999","0701","3088",,1378,5.75000000e+00,
"20","001","999","0701","3138",,1236,5.15999985e+00,
"20","001","999","0702","3097",,976,4.28000021e+00,
"20","001","999","0702","3118",,5970,2.61599998e+01,
"20","001","999","0702","3121",,15877,6.95699997e+01,
"20","002","999","0701","3006",,430,3.69099998e+01,
"20","002","999","0701","3023",,364,3.12399998e+01,
"20","002","999","0701","3038",,148,1.26999998e+01,
"20","002","999","0701","3043",,65,5.57999992e+00,
"20","002","999","0701","3051",,83,7.11999989e+00,
"20","002","999","0701","3088",,56,4.80999994e+00,
"20","002","999","0701","3138",,19,1.63000000e+00,
"20","002","999","0702","3097",,247,7.21999979e+00,
"20","002","999","0702","3118",,1855,5.42200012e+01,
"20","002","999","0702","3121",,1319,3.85600014e+01,
"20","003","999","0701","3006",,425,1.72399998e+01,
"20","003","999","0701","3023",,276,1.11999998e+01,
"20","003","999","0701","3038",,442,1.79300003e+01,
"20","003","999","0701","3043",,488,1.97999992e+01,
"20","003","999","0701","3051",,530,2.15000000e+01,
"20","003","999","0701","3088",,178,7.21999979e+00,
"20","003","999","0701","3138",,126,5.11000013e+00,
"20","003","999","0702","3097",,269,9.39999962e+00,
"20","003","999","0702","3118",,1156,4.03800011e+01,
"20","003","999","0702","3121",,1438,5.02299995e+01,
"20","004","999","0701","3006",,168,3.72500000e+01,
"20","004","999","0701","3023",,60,1.33000002e+01,
"20","004","999","0701","3038",,84,1.86299992e+01,
"20","004","999","0701","3043",,7,1.54999995e+00,
"20","004","999","0701","3051",,45,9.97999954e+00,
"20","004","999","0701","3088",,37,8.19999981e+00,
"20","004","999","0701","3138",,50,1.10900002e+01,
"20","004","999","0702","3097",,39,2.59999990e+00,
"20","004","999","0702","3118",,563,3.75600014e+01,
"20","004","999","0702","3121",,897,5.98400002e+01,
"20","005","999","0701","3006",,389,2.00599995e+01,
"20","005","999","0701","3023",,540,2.78500004e+01,
"20","005","999","0701","3038",,385,1.98600006e+01,
"20","005","999","0701","3043",,70,3.60999990e+00,
"20","005","999","0701","3051",,264,1.36199999e+01,
"20","005","999","0701","3088",,111,5.71999979e+00,
"20","005","999","0701","3138",,180,9.27999973e+00,
"20","005","999","0702","3097",,465,9.94999981e+00,
"20","005","999","0702","3118",,1415,3.02800007e+01,
"20","005","999","0702","3121",,2793,5.97700005e+01,
"20","006","999","0701","3006",,746,2.59599991e+01,
"20","006","999","0701","3023",,287,9.98999977e+00,
"20","006","999","0701","3038",,572,1.98999996e+01,
"20","006","999","0701","3043",,222,7.71999979e+00,
"20","006","999","0701","3051",,672,2.33799992e+01,
"20","006","999","0701","3088",,148,5.15000010e+00,
"20","006","999","0701","3138",,227,7.90000010e+00,
"20","006","999","0702","3097",,358,4.73000002e+00,
"20","006","999","0702","3118",,1197,1.58299999e+01,
"20","006","999","0702","3121",,6008,7.94400024e+01,
"20","007","999","0701","3006",,7551,2.48199997e+01,
"20","007","999","0701","3023",,7249,2.38299999e+01,
"20","007","999","0701","3038",,5245,1.72399998e+01,
"20","007","999","0701","3043",,1766,5.80000019e+00,
"20","007","999","0701","3051",,4571,1.50200005e+01,
"20","007","999","0701","3088",,1185,3.89000010e+00,
"20","007","999","0701","3138",,2857,9.39000034e+00,
"20","007","999","0702","3097",,2410,8.55000019e+00,
"20","007","999","0702","3118",,9584,3.40099983e+01,
"20","007","999","0702","3121",,16188,5.74399986e+01,
"20","999","999","0701","3006",,21013,3.32099991e+01,
"20","999","999","0701","3023",,11471,1.81299992e+01,
"20","999","999","0701","3038",,10743,1.69799995e+01,
"20","999","999","0701","3043",,4094,6.46999979e+00,
"20","999","999","0701","3051",,8169,1.29099998e+01,
"20","999","999","0701","3088",,3093,4.88999987e+00,
"20","999","999","0701","3138",,4695,7.42000008e+00,
"20","999","999","0702","3097",,4764,6.71000004e+00,
"20","999","999","0702","3118",,21740,3.06100006e+01,
"20","999","999","0702","3121",,44520,6.26800003e+01,
