sub_votproCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_codFormula,vot_parCodigo,votVotosPartido,votPorcenVotos
"02","001","999","0131","0131",2606,2.75000000e+01
"02","001","999","0132","0132",196,2.06999993e+00
"02","001","999","0137","0137",95,1.00000000e+00
"02","001","999","0138","0138",1015,1.07100000e+01
"02","001","999","0145","0145",5565,5.87200012e+01
"02","002","999","0131","0131",2662,3.76199989e+01
"02","002","999","0132","0132",78,1.10000002e+00
"02","002","999","0137","0137",81,1.13999999e+00
"02","002","999","0138","0138",819,1.15699997e+01
"02","002","999","0145","0145",3436,4.85600014e+01
"02","003","999","0131","0131",122387,4.03499985e+01
"02","003","999","0132","0132",7755,2.55999994e+00
"02","003","999","0137","0137",14461,4.76999998e+00
"02","003","999","0138","0138",60214,1.98500004e+01
"02","003","999","0145","0145",98481,3.24700012e+01
"02","004","999","0131","0131",78451,3.67500000e+01
"02","004","999","0132","0132",5719,2.68000007e+00
"02","004","999","0137","0137",9314,4.36000013e+00
"02","004","999","0138","0138",35671,1.67099991e+01
"02","004","999","0145","0145",84324,3.95000000e+01
"02","005","999","0131","0131",3638,3.25900002e+01
"02","005","999","0132","0132",180,1.61000001e+00
"02","005","999","0137","0137",273,2.45000005e+00
"02","005","999","0138","0138",1073,9.60999966e+00
"02","005","999","0145","0145",5998,5.37400017e+01
"02","006","999","0131","0131",11325,3.00400009e+01
"02","006","999","0132","0132",2374,6.30000019e+00
"02","006","999","0137","0137",838,2.22000003e+00
"02","006","999","0138","0138",5357,1.42100000e+01
"02","006","999","0145","0145",17805,4.72299995e+01
"02","007","999","0131","0131",37529,2.25699997e+01
"02","007","999","0132","0132",9135,5.48999977e+00
"02","007","999","0137","0137",8166,4.90999985e+00
"02","007","999","0138","0138",25006,1.50400000e+01
"02","007","999","0145","0145",86424,5.19799995e+01
"02","008","999","0131","0131",6531,2.47199993e+01
"02","008","999","0132","0132",300,1.13999999e+00
"02","008","999","0137","0137",464,1.75999999e+00
"02","008","999","0138","0138",4273,1.61700001e+01
"02","008","999","0145","0145",14851,5.62099991e+01
"02","009","999","0131","0131",7219,3.64300003e+01
"02","009","999","0132","0132",200,1.00999999e+00
"02","009","999","0137","0137",559,2.81999993e+00
"02","009","999","0138","0138",3582,1.80799999e+01
"02","009","999","0145","0145",8255,4.16599998e+01
"02","010","999","0131","0131",6297,3.35999985e+01
"02","010","999","0132","0132",470,2.50999999e+00
"02","010","999","0137","0137",243,1.29999995e+00
"02","010","999","0138","0138",2957,1.57799997e+01
"02","010","999","0145","0145",8772,4.68100014e+01
"02","011","999","0131","0131",72345,3.99799995e+01
"02","011","999","0132","0132",4189,2.30999994e+00
"02","011","999","0137","0137",8595,4.75000000e+00
"02","011","999","0138","0138",37117,2.05100002e+01
"02","011","999","0145","0145",58728,3.24500008e+01
"02","012","999","0131","0131",18335,3.28699989e+01
"02","012","999","0132","0132",1423,2.54999995e+00
"02","012","999","0137","0137",2788,5.00000000e+00
"02","012","999","0138","0138",11562,2.07299995e+01
"02","012","999","0145","0145",21679,3.88600006e+01
"02","013","999","0131","0131",7739,3.49799995e+01
"02","013","999","0132","0132",324,1.46000004e+00
"02","013","999","0137","0137",350,1.58000004e+00
"02","013","999","0138","0138",2984,1.34899998e+01
"02","013","999","0145","0145",10724,4.84799995e+01
"02","014","999","0131","0131",9668,3.60400009e+01
"02","014","999","0132","0132",310,1.15999997e+00
"02","014","999","0137","0137",396,1.48000002e+00
"02","014","999","0138","0138",2673,9.97000027e+00
"02","014","999","0145","0145",13776,5.13600006e+01
"02","015","999","0131","0131",5535,3.56199989e+01
