sub_votproCodigoProvincia,vot_depCodigoDepartamento,vot_munCodigoMunicipio,vot_codFormula,vot_parCodigo,votVotosPartido,votPorcenVotos
"01","001","999","0131","0131",33224,2.63999996e+01
"01","001","999","0132","0132",5032,4.00000000e+00
"01","001","999","0133","0133",944,7.50000000e-01
"01","001","999","0135","0135",64042,5.09000015e+01
"01","001","999","0137","0137",5362,4.26000023e+00
"01","001","999","0138","0138",17227,1.36899996e+01
"01","002","999","0131","0131",15324,1.42799997e+01
"01","002","999","0132","0132",4862,4.53000021e+00
"01","002","999","0133","0133",470,4.39999998e-01
"01","002","999","0135","0135",74463,6.93899994e+01
"01","002","999","0137","0137",2843,2.65000010e+00
"01","002","999","0138","0138",9345,8.71000004e+00
"01","003","999","0131","0131",32631,2.70900002e+01
"01","003","999","0132","0132",5862,4.86999989e+00
"01","003","999","0133","0133",1023,8.50000024e-01
"01","003","999","0135","0135",54513,4.52500000e+01
"01","003","999","0137","0137",6168,5.11999989e+00
"01","003","999","0138","0138",20276,1.68299999e+01
"01","004","999","0131","0131",43089,3.17099991e+01
"01","004","999","0132","0132",5110,3.75999999e+00
"01","004","999","0133","0133",1146,8.39999974e-01
"01","004","999","0135","0135",56567,4.16300011e+01
"01","004","999","0137","0137",6491,4.78000021e+00
"01","004","999","0138","0138",23489,1.72900009e+01
"01","005","999","0131","0131",32314,2.64500008e+01
"01","005","999","0132","0132",7331,6.00000000e+00
"01","005","999","0133","0133",900,7.40000010e-01
"01","005","999","0135","0135",55601,4.55099983e+01
"01","005","999","0137","0137",6654,5.44999981e+00
"01","005","999","0138","0138",19383,1.58599997e+01
"01","006","999","0131","0131",28479,2.22099991e+01
"01","006","999","0132","0132",8169,6.36999989e+00
"01","006","999","0133","0133",754,5.89999974e-01
"01","006","999","0135","0135",66087,5.15400009e+01
"01","006","999","0137","0137",6071,4.73000002e+00
"01","006","999","0138","0138",18665,1.45600004e+01
"01","007","999","0131","0131",34708,2.60499992e+01
"01","007","999","0132","0132",6772,5.07999992e+00
"01","007","999","0133","0133",1083,8.10000002e-01
"01","007","999","0135","0135",60598,4.54799995e+01
"01","007","999","0137","0137",6084,4.57000017e+00
"01","007","999","0138","0138",24008,1.80200005e+01
"01","008","999","0131","0131",37714,3.51699982e+01
"01","008","999","0132","0132",3144,2.93000007e+00
"01","008","999","0133","0133",1041,9.70000029e-01
"01","008","999","0135","0135",38600,3.59900017e+01
"01","008","999","0137","0137",4176,3.89000010e+00
"01","008","999","0138","0138",22568,2.10400009e+01
